,_id,DataDate,AcctIDByMXZ,SecurityID,CompositeSource,LoanType,InterestFromPublicSecLoan,InterestFromPrivateSecLoan,PenaltyFromDefault,PenaltyFromPrepay,PenaltyFromOverdue,FeeFromSecLoan,AccruedInterestFromPublicSecLoan,AccruedInterestFromPrivateSecLoan,AccruedPenaltyFromDefault,AccruedPenaltyFromPrepay,AccruedPenaltyFromOverdue,AccruedFeeFromSecLoan
0,5fd1c822a132de0520319049,20201209,307_m_hait_2000,601099,AutoT0,secloan_from_public,0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.0,0.0,0.0,0.0,6.26
1,5fd1c822a132de052031904a,20201209,307_m_hait_2000,002074,AutoT0,secloan_from_public,3.42,0.0,0.0,0.0,0.0,3.42,67.97,0.0,0.0,0.0,0.0,67.97
2,5fd1c822a132de052031904b,20201209,307_m_hait_2000,000793,AutoT0,secloan_from_public,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,0.0,0.0,4.73
3,5fd1c822a132de052031904c,20201209,307_m_hait_2000,002271,AutoT0,secloan_from_public,16.37,0.0,0.0,0.0,0.0,16.37,329.36,0.0,0.0,0.0,0.0,329.36
4,5fd1c822a132de052031904d,20201209,307_m_hait_2000,300027,AutoT0,secloan_from_public,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0,0.0,6.84
5,5fd1c822a132de052031904e,20201209,307_m_hait_2000,000100,AutoT0,secloan_from_public,0.0,0.0,0.0,0.0,0.0,0.0,11.29,0.0,0.0,0.0,0.0,11.29
6,5fd1c822a132de052031904f,20201209,307_m_hait_2000,300251,AutoT0,secloan_from_public,0.3,0.0,0.0,0.0,0.0,0.3,6.0,0.0,0.0,0.0,0.0,6.0
7,5fd1c822a132de0520319050,20201209,307_m_hait_2000,002202,AutoT0,secloan_from_public,2.73,0.0,0.0,0.0,0.0,2.73,57.93,0.0,0.0,0.0,0.0,57.93
8,5fd1c822a132de0520319051,20201209,307_m_hait_2000,002074,AutoT0,secloan_from_public,3.42,0.0,0.0,0.0,0.0,3.42,67.97,0.0,0.0,0.0,0.0,67.97
9,5fd1c822a132de0520319052,20201209,307_m_hait_2000,002466,AutoT0,secloan_from_public,7.26,0.0,0.0,0.0,0.0,7.26,122.87,0.0,0.0,0.0,0.0,122.87
10,5fd1c822a132de0520319053,20201209,307_m_hait_2000,002214,AutoT0,secloan_from_public,5.64,0.0,0.0,0.0,0.0,5.64,113.36,0.0,0.0,0.0,0.0,113.36
11,5fd1c822a132de0520319054,20201209,307_m_hait_2000,002007,AutoT0,secloan_from_public,10.0,0.0,0.0,0.0,0.0,10.0,201.4,0.0,0.0,0.0,0.0,201.4
12,5fd1c822a132de0520319055,20201209,307_m_hait_2000,600804,AutoT0,secloan_from_public,1.71,0.0,0.0,0.0,0.0,1.71,36.52,0.0,0.0,0.0,0.0,36.52
13,5fd1c822a132de0520319056,20201209,307_m_hait_2000,002382,AutoT0,secloan_from_public,4.95,0.0,0.0,0.0,0.0,4.95,96.07,0.0,0.0,0.0,0.0,96.07
14,5fd1c822a132de0520319057,20201209,307_m_hait_2000,002153,AutoT0,secloan_from_public,7.95,0.0,0.0,0.0,0.0,7.95,158.62,0.0,0.0,0.0,0.0,158.62
15,5fd1c822a132de0520319058,20201209,307_m_hait_2000,600176,AutoT0,secloan_from_public,3.87,0.0,0.0,0.0,0.0,3.87,78.82,0.0,0.0,0.0,0.0,78.82
16,5fd1c822a132de0520319059,20201209,307_m_hait_2000,000503,AutoT0,secloan_from_public,2.34,0.0,0.0,0.0,0.0,2.34,50.27,0.0,0.0,0.0,0.0,50.27
17,5fd1c822a132de052031905a,20201209,307_m_hait_2000,601238,AutoT0,secloan_from_public,3.02,0.0,0.0,0.0,0.0,3.02,64.05,0.0,0.0,0.0,0.0,64.05
18,5fd1c822a132de052031905b,20201209,307_m_hait_2000,002353,AutoT0,secloan_from_public,8.21,0.0,0.0,0.0,0.0,8.21,166.58,0.0,0.0,0.0,0.0,166.58
19,5fd1c822a132de052031905c,20201209,307_m_hait_2000,601919,AutoT0,secloan_from_public,0.87,0.0,0.0,0.0,0.0,0.87,18.45,0.0,0.0,0.0,0.0,18.45
20,5fd1c822a132de052031905d,20201209,307_m_hait_2000,300124,AutoT0,secloan_from_public,11.69,0.0,0.0,0.0,0.0,11.69,227.37,0.0,0.0,0.0,0.0,227.37
21,5fd1c822a132de052031905e,20201209,307_m_hait_2000,300122,AutoT0,secloan_from_public,16.1,0.0,0.0,0.0,0.0,16.1,297.07,0.0,0.0,0.0,0.0,297.07
22,5fd1c822a132de052031905f,20201209,307_m_hait_2000,600804,AutoT0,secloan_from_public,19.54,0.0,0.0,0.0,0.0,19.54,416.38,0.0,0.0,0.0,0.0,416.38
23,5fd1c822a132de0520319060,20201209,307_m_hait_2000,000100,AutoT0,secloan_from_public,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0.0,0.0,5.65
24,5fd1c822a132de0520319061,20201209,307_m_hait_2000,300072,AutoT0,secloan_from_public,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
25,5fd1c822a132de0520319062,20201209,307_m_hait_2000,000503,AutoT0,secloan_from_public,12.38,0.0,0.0,0.0,0.0,12.38,224.95,0.0,0.0,0.0,0.0,224.95
26,5fd1c822a132de0520319063,20201209,307_m_hait_2000,002353,AutoT0,secloan_from_public,14.78,0.0,0.0,0.0,0.0,14.78,257.75,0.0,0.0,0.0,0.0,257.75
27,5fd1c822a132de0520319064,20201209,307_m_hait_2000,002466,AutoT0,secloan_from_public,23.23,0.0,0.0,0.0,0.0,23.23,341.34,0.0,0.0,0.0,0.0,341.34
28,5fd1c822a132de0520319065,20201209,307_m_hait_2000,002353,AutoT0,secloan_from_public,11.5,0.0,0.0,0.0,0.0,11.5,177.21,0.0,0.0,0.0,0.0,177.21
29,5fd1c822a132de0520319066,20201209,307_m_hait_2000,002214,AutoT0,secloan_from_public,29.31,0.0,0.0,0.0,0.0,29.31,445.56,0.0,0.0,0.0,0.0,445.56
30,5fd1c822a132de0520319067,20201209,307_m_hait_2000,000100,AutoT0,secloan_from_public,0.0,0.0,0.0,0.0,0.0,0.0,20.22,0.0,0.0,0.0,0.0,20.22
31,5fd1c822a132de0520319068,20201209,307_m_hait_2000,300072,AutoT0,secloan_from_public,0.29,0.0,0.0,0.0,0.0,0.29,4.59,0.0,0.0,0.0,0.0,4.59
32,5fd1c822a132de0520319069,20201209,307_m_hait_2000,300124,AutoT0,secloan_from_public,7.8,0.0,0.0,0.0,0.0,7.8,105.97,0.0,0.0,0.0,0.0,105.97
33,5fd1c822a132de052031906a,20201209,307_m_hait_2000,000100,AutoT0,secloan_from_public,0.0,0.0,0.0,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0,6.38
34,5fd1c822a132de052031906b,20201209,307_m_hait_2000,000100,AutoT0,secloan_from_public,0.0,0.0,0.0,0.0,0.0,0.0,15.23,0.0,0.0,0.0,0.0,15.23
35,5fd1c822a132de052031906c,20201209,307_m_hait_2000,002353,AutoT0,secloan_from_public,22.99,0.0,0.0,0.0,0.0,22.99,330.79,0.0,0.0,0.0,0.0,330.79
36,5fd1c822a132de052031906d,20201209,307_m_hait_2000,300122,AutoT0,secloan_from_public,3.22,0.0,0.0,0.0,0.0,3.22,39.77,0.0,0.0,0.0,0.0,39.77
37,5fd1c822a132de052031906e,20201209,307_m_hait_2000,300122,AutoT0,secloan_from_public,32.21,0.0,0.0,0.0,0.0,32.21,397.69,0.0,0.0,0.0,0.0,397.69
38,5fd1c822a132de052031906f,20201209,307_m_hait_2000,600804,AutoT0,secloan_from_public,14.91,0.0,0.0,0.0,0.0,14.91,156.65,0.0,0.0,0.0,0.0,156.65
39,5fd1c822a132de0520319070,20201209,307_m_hait_2000,600004,AutoT0,secloan_from_public,28.51,0.0,0.0,0.0,0.0,28.51,294.31,0.0,0.0,0.0,0.0,294.31
40,5fd1c822a132de0520319071,20201209,307_m_hait_2000,000503,AutoT0,secloan_from_public,28.73,0.0,0.0,0.0,0.0,28.73,304.61,0.0,0.0,0.0,0.0,304.61
41,5fd1c822a132de0520319072,20201209,307_m_hait_2000,600004,AutoT0,secloan_from_public,15.76,0.0,0.0,0.0,0.0,15.76,146.35,0.0,0.0,0.0,0.0,146.35
42,5fd1c822a132de0520319073,20201209,307_m_hait_2000,600895,AutoT0,secloan_from_public,43.76,0.0,0.0,0.0,0.0,43.76,403.21,0.0,0.0,0.0,0.0,403.21
43,5fd1c822a132de0520319074,20201209,307_m_hait_2000,300072,AutoT0,secloan_from_public,4.85,0.0,0.0,0.0,0.0,4.85,45.75,0.0,0.0,0.0,0.0,45.75
44,5fd1c822a132de0520319075,20201209,307_m_hait_2000,601919,AutoT0,secloan_from_public,25.26,0.0,0.0,0.0,0.0,25.26,207.6,0.0,0.0,0.0,0.0,207.6
45,5fd1c822a132de0520319076,20201209,307_m_hait_2000,002460,AutoT0,secloan_from_public,3.71,0.0,0.0,0.0,0.0,3.71,29.05,0.0,0.0,0.0,0.0,29.05
46,5fd1c822a132de0520319077,20201209,307_m_hait_2000,300072,AutoT0,secloan_from_public,1.43,0.0,0.0,0.0,0.0,1.43,10.35,0.0,0.0,0.0,0.0,10.35
47,5fd1c822a132de0520319078,20201209,307_m_hait_2000,000768,AutoT0,secloan_from_public,13.86,0.0,0.0,0.0,0.0,13.86,85.67,0.0,0.0,0.0,0.0,85.67
48,5fd1c822a132de0520319079,20201209,307_m_hait_2000,300072,AutoT0,secloan_from_public,1.43,0.0,0.0,0.0,0.0,1.43,8.87,0.0,0.0,0.0,0.0,8.87
49,5fd1c822a132de052031907a,20201209,307_m_hait_2000,000157,AutoT0,secloan_from_public,44.55,0.0,0.0,0.0,0.0,44.55,138.73,0.0,0.0,0.0,0.0,138.73
50,5fd1c822a132de052031907b,20201209,307_m_hait_2000,600362,AutoT0,secloan_from_public,6.13,0.0,0.0,0.0,0.0,6.13,12.25,0.0,0.0,0.0,0.0,12.25
51,5fd1c822a132de052031907c,20201209,307_m_hait_2000,688116,AutoT0,secloan_from_private,0.0,4.05,0.0,0.0,0.0,4.05,0.0,90.19,0.0,0.0,0.0,90.19
52,5fd1c822a132de052031907d,20201209,307_m_hait_2000,688068,AutoT0,secloan_from_private,0.0,9.43,0.0,0.0,0.0,9.43,0.0,209.84,0.0,0.0,0.0,209.84
53,5fd1c822a132de052031907e,20201209,307_m_hait_2000,000725,AutoT0,secloan_from_private,0.0,16.93,0.0,0.0,0.0,16.93,0.0,338.67,0.0,0.0,0.0,338.67
54,5fd1c822a132de052031907f,20201209,307_m_hait_2000,002739,AutoT0,secloan_from_private,0.0,3.43,0.0,0.0,0.0,3.43,0.0,68.68,0.0,0.0,0.0,68.68
55,5fd1c822a132de0520319080,20201209,307_m_hait_2000,002739,AutoT0,secloan_from_private,0.0,13.96,0.0,0.0,0.0,13.96,0.0,237.34,0.0,0.0,0.0,237.34
56,5fd1c822a132de0520319081,20201209,307_m_hait_2000,002739,AutoT0,secloan_from_private,0.0,0.69,0.0,0.0,0.0,0.69,0.0,11.18,0.0,0.0,0.0,11.18
57,5fd1c822a132de0520319082,20201209,307_m_hait_2000,000725,AutoT0,secloan_from_private,0.0,9.08,0.0,0.0,0.0,9.08,0.0,136.2,0.0,0.0,0.0,136.2
58,5fd1c822a132de0520319083,20201209,307_m_hait_2000,300037,AutoT0,secloan_from_private,0.0,24.1,0.0,0.0,0.0,24.1,0.0,361.57,0.0,0.0,0.0,361.57
59,5fd1c822a132de0520319084,20201209,307_m_hait_2000,300502,AutoT0,secloan_from_private,0.0,26.06,0.0,0.0,0.0,26.06,0.0,390.84,0.0,0.0,0.0,390.84
60,5fd1c822a132de0520319085,20201209,307_m_hait_2000,002044,AutoT0,secloan_from_private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.83,0.0,0.0,0.0,375.83
61,5fd1c822a132de0520319086,20201209,307_m_hait_2000,300274,AutoT0,secloan_from_private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.04,0.0,0.0,0.0,220.04
62,5fd1c822a132de0520319087,20201209,307_m_hait_2000,000725,AutoT0,secloan_from_private,0.0,0.19,0.0,0.0,0.0,0.19,0.0,2.63,0.0,0.0,0.0,2.63
63,5fd1c822a132de0520319088,20201209,307_m_hait_2000,002340,AutoT0,secloan_from_private,0.0,8.46,0.0,0.0,0.0,8.46,0.0,118.46,0.0,0.0,0.0,118.46
64,5fd1c822a132de0520319089,20201209,307_m_hait_2000,000100,AutoT0,secloan_from_private,0.0,9.58,0.0,0.0,0.0,9.58,0.0,124.5,0.0,0.0,0.0,124.5
65,5fd1c822a132de052031908a,20201209,307_m_hait_2000,000725,AutoT0,secloan_from_private,0.0,9.65,0.0,0.0,0.0,9.65,0.0,125.45,0.0,0.0,0.0,125.45
66,5fd1c822a132de052031908b,20201209,307_m_hait_2000,300037,AutoT0,secloan_from_private,0.0,11.99,0.0,0.0,0.0,11.99,0.0,155.84,0.0,0.0,0.0,155.84
67,5fd1c822a132de052031908c,20201209,307_m_hait_2000,300666,AutoT0,secloan_from_private,0.0,9.37,0.0,0.0,0.0,9.37,0.0,93.67,0.0,0.0,0.0,93.67
68,5fd1c822a132de052031908d,20201209,307_m_hait_2000,600531,AutoT0,secloan_from_private,0.0,10.78,0.0,0.0,0.0,10.78,0.0,107.79,0.0,0.0,0.0,107.79
69,5fd1c822a132de052031908e,20201209,307_m_hait_2000,300502,AutoT0,secloan_from_private,0.0,10.74,0.0,0.0,0.0,10.74,0.0,85.92,0.0,0.0,0.0,85.92
70,5fd1c822a132de052031908f,20201209,307_m_hait_2000,000830,AutoT0,secloan_from_private,0.0,31.67,0.0,0.0,0.0,31.67,0.0,253.38,0.0,0.0,0.0,253.38
