未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:30:31.698,mslh18hait6618,75,000516,国际医学,11.84,-4300,11.85117,-856,0,未成
10:01:30.926,mslh18hait6618,5455,600746,江苏索普,6.6,10200,6.6,7600,0,未成
10:01:55.863,mslh18hait6618,5461,002239,奥特佳,4.92,65200,0,0,0,已报
10:01:00.758,mslh18hait6618,5437,603306,华懋科技,22.59,3900,22.59,2300,0,未成
10:02:01.432,mslh18hait6618,5472,300604,长川科技,29.51,1700,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,600711,undefined,-451600,-76606.41,8.69
mslh18hait6618,002340,undefined,-326600,-41506.22,6.43
mslh18hait6618,600418,undefined,-208300,-11954.82,12.19
mslh18hait6618,300393,undefined,-87600,-4762.79,12.59
mslh18hait6618,600089,undefined,-82000,-1377.54,9.70
mslh18hait6618,001896,undefined,-81900,-22662.40,9.19
mslh18hait6618,600546,undefined,-73300,-17896.95,9.25
mslh18hait6618,002958,undefined,-70600,8574.15,5.37
mslh18hait6618,600189,undefined,-67500,9769.26,9.99
mslh18hait6618,300390,undefined,-57100,26602.12,25.99
mslh18hait6618,300094,undefined,-55600,-3305.69,5.90
mslh18hait6618,600438,undefined,-51700,52901.83,38.62
mslh18hait6618,002202,undefined,-51100,-5234.67,14.01
mslh18hait6618,000516,undefined,-48256,-4323.53,11.81
mslh18hait6618,002466,undefined,-47300,-22663.29,35.88
mslh18hait6618,002126,undefined,-45500,-16783.54,13.36
mslh18hait6618,300129,undefined,-41600,-1301.81,8.18
mslh18hait6618,600499,undefined,-32700,-3617.86,6.63
mslh18hait6618,002407,undefined,-32000,-6591.36,18.33
mslh18hait6618,601127,undefined,-30100,2803.96,15.37
mslh18hait6618,603799,undefined,-28700,-73426.17,68.05
mslh18hait6618,000936,undefined,-25100,-1084.55,8.25
mslh18hait6618,002075,undefined,-24800,-1425.31,11.18
mslh18hait6618,000729,undefined,-23100,147.98,8.50
mslh18hait6618,002488,undefined,-22200,2669.84,6.11
mslh18hait6618,688005,undefined,-21597,-18502.72,50.29
mslh18hait6618,000807,undefined,-20800,-2206.05,7.53
mslh18hait6618,601633,undefined,-20700,-8602.95,30.88
mslh18hait6618,002382,undefined,-14900,367.62,22.30
mslh18hait6618,603185,undefined,-12800,16452.37,137.72
mslh18hait6618,300409,undefined,-12800,-1642.21,14.00
mslh18hait6618,603128,undefined,-12600,-2571.32,8.76
mslh18hait6618,601615,undefined,-12100,2446.53,20.26
mslh18hait6618,000933,undefined,-12080,-1354.55,7.45
mslh18hait6618,600380,undefined,-11800,-1506.22,13.60
mslh18hait6618,600988,undefined,-11300,-3044.54,17.63
mslh18hait6618,000830,undefined,-11000,-438.31,12.40
mslh18hait6618,300241,undefined,-10000,785.87,7.15
mslh18hait6618,603306,undefined,-9900,-5709.84,22.05
mslh18hait6618,000786,undefined,-9100,-9076.49,35.37
mslh18hait6618,000547,undefined,-9000,-328.04,25.00
mslh18hait6618,601865,undefined,-8100,4648.59,37.80
mslh18hait6618,600596,undefined,-7700,1322.25,11.46
mslh18hait6618,600597,undefined,-7200,1419.48,16.75
mslh18hait6618,600732,undefined,-6500,-256.90,17.49
mslh18hait6618,600338,undefined,-6500,155.35,10.07
mslh18hait6618,002151,undefined,-5600,2842.82,52.25
mslh18hait6618,000733,undefined,-5600,6429.86,56.50
mslh18hait6618,300378,undefined,-5400,1441.59,27.42
mslh18hait6618,000039,undefined,-5100,-566.98,14.44
mslh18hait6618,002013,undefined,-4900,506.80,10.38
mslh18hait6618,000739,undefined,-4900,-1206.64,22.62
mslh18hait6618,300358,undefined,-4600,648.56,11.91
mslh18hait6618,002169,undefined,-4600,129.59,7.40
mslh18hait6618,000828,undefined,-4500,-23.32,9.49
mslh18hait6618,002179,undefined,-4300,2519.95,71.36
mslh18hait6618,300375,undefined,-4200,177.20,4.89
mslh18hait6618,002859,undefined,-4100,-434.92,25.58
mslh18hait6618,603063,undefined,-3900,113.83,19.27
mslh18hait6618,300037,undefined,-3900,-3269.93,99.06
mslh18hait6618,000301,undefined,-3900,-177.31,9.66
mslh18hait6618,688388,undefined,-3600,-7384.12,80.74
mslh18hait6618,600738,undefined,-3500,-35.28,6.30
mslh18hait6618,300326,undefined,-3500,-1255.16,16.04
