未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:30:31.698,mslh18hait6618,75,000516,国际医学,11.84,-4300,11.85117,-856,0,未成



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,600711,盛屯矿业,-269964,-234826.30,8.69
mslh18hait6618,600418,江淮汽车,-182000,-4983.77,12.19
mslh18hait6618,001896,豫能控股,-81900,-22662.43,9.19
mslh18hait6618,002958,,-70600,4336.89,5.37
mslh18hait6618,002202,金风科技,-51100,-18524.67,14.01
mslh18hait6618,002466,天齐锂业,-47300,-62407.20,35.88
mslh18hait6618,600189,吉林森工,-38700,-3302.63,9.99
mslh18hait6618,000516,国际医学,-37056,-1095.38,11.81
mslh18hait6618,601127,,-30100,-37843.26,15.37
mslh18hait6618,000936,华西股份,-25100,-1335.62,8.25
mslh18hait6618,002075,沙钢股份,-24800,-1673.34,11.18
mslh18hait6618,002488,金固股份,-22200,449.17,6.11
mslh18hait6618,688005,,-21597,-67326.60,50.29
mslh18hait6618,601633,长城汽车,-20700,-30965.63,30.88
mslh18hait6618,002382,蓝帆医疗,-14900,7372.65,22.30
mslh18hait6618,000547,航天发展,-14000,-2193.24,25.21
mslh18hait6618,600380,健康元,-11800,-2686.58,13.60
mslh18hait6618,600988,赤峰黄金,-11300,-5418.27,17.63
mslh18hait6618,600597,光明乳业,-7200,195.12,16.75
mslh18hait6618,600338,西藏珠峰,-6500,-1340.10,10.07
mslh18hait6618,600732,ST新梅,-6500,-2402.54,17.49
mslh18hait6618,002151,北斗星通,-5600,1722.49,52.25
mslh18hait6618,300378,鼎捷软件,-5400,1387.57,27.42
mslh18hait6618,601615,,-5200,-2797.75,20.26
mslh18hait6618,000738,中航动控,-5100,1655.56,22.18
mslh18hait6618,000739,普洛药业,-4900,508.87,22.62
mslh18hait6618,002169,智光电气,-4600,129.59,7.40
mslh18hait6618,300358,楚天科技,-4600,1660.87,11.91
mslh18hait6618,000828,东莞控股,-4500,-788.54,9.49
mslh18hait6618,002179,中航光电,-4300,-9136.55,71.36
mslh18hait6618,300375,鹏翎股份,-4200,9.15,4.89
mslh18hait6618,002859,,-4100,-311.88,25.58
mslh18hait6618,000301,东方市场,-3900,251.82,9.66
mslh18hait6618,600738,兰州民百,-3500,-105.30,6.30
mslh18hait6618,002555,三七互娱,-3500,1100.61,28.53
mslh18hait6618,300316,晶盛机电,-3500,-638.70,32.78
mslh18hait6618,300724,,-3100,-7962.90,144.50
