证券代码,证券名称,起始日,归还日,到期日,剩余期限,合约数量,日初合约数量,已用数量,合约金额,使用费率,占用利率,预计占用利息,已还利息,展期后到期日,展期次数,违约金率,合约编号,资产账号,账户名称
600460,士兰微,2021-01-20,2021-02-10,2021-02-16,25,4200,4200,4200,108360.00,0.00 %,7.00 %,42.14,0.00,--,0,18.00 %,202101200000000047,960000039239,鸣石宽墨十一号私募证券投资基金
601766,中国中车,2021-01-20,2021-02-10,2021-02-16,25,19200,19200,19200,131904.00,0.00 %,9.00 %,65.95,0.00,--,0,18.00 %,202101200000000956,960000039239,鸣石宽墨十一号私募证券投资基金
603799,华友钴业,2021-01-18,2021-02-10,2021-02-12,21,1000,1000,1000,83100.00,0.00 %,9.00 %,83.10,0.00,--,0,18.00 %,202101180000001328,960000039239,鸣石宽墨十一号私募证券投资基金
002389,航天彩虹,2021-01-18,2021-02-08,2021-02-09,18,6600,6600,6600,204930.00,0.00 %,7.00 %,159.39,0.00,--,0,18.00 %,202101180000000147,960000039239,鸣石宽墨十一号私募证券投资基金
000799,酒鬼酒,2021-01-21,2021-02-03,2021-02-04,13,1200,1200,0,221280.00,0.00 %,8.50 %,52.25,0.00,--,0,18.00 %,202101210000000951,960000039239,鸣石宽墨十一号私募证券投资基金
002156,通富微电,2021-01-21,2021-02-03,2021-02-04,13,1600,1600,1600,47440.00,0.00 %,8.50 %,11.20,0.00,--,0,18.00 %,202101210000000960,960000039239,鸣石宽墨十一号私募证券投资基金
002156,通富微电,2021-01-20,2021-02-02,2021-02-03,12,3400,3400,1800,102272.00,0.00 %,8.50 %,48.30,0.00,--,0,18.00 %,202101200000001035,960000039239,鸣石宽墨十一号私募证券投资基金
600776,东方通信,2021-01-20,2021-02-02,2021-02-03,12,7900,7900,7900,99382.00,0.00 %,8.50 %,46.93,0.00,--,0,18.00 %,202101200000001043,960000039239,鸣石宽墨十一号私募证券投资基金
600316,洪都航空,2021-01-21,2021-02-02,2021-02-03,12,3900,3900,3900,201630.00,0.00 %,7.00 %,39.21,0.00,--,0,18.00 %,202101210000000010,960000039239,鸣石宽墨十一号私募证券投资基金
600893,航发动力,2021-01-21,2021-02-02,2021-02-03,12,1400,1400,1400,102312.00,0.00 %,5.00 %,14.21,0.00,--,0,18.00 %,202101210000000011,960000039239,鸣石宽墨十一号私募证券投资基金
600967,内蒙一机,2021-01-21,2021-02-02,2021-02-03,12,10000,10000,10000,121800.00,0.00 %,7.00 %,23.68,0.00,--,0,18.00 %,202101210000000012,960000039239,鸣石宽墨十一号私募证券投资基金
601058,赛轮轮胎,2021-01-21,2021-02-02,2021-02-03,12,23300,23300,0,204574.00,0.00 %,9.00 %,51.14,0.00,--,0,18.00 %,202101210000000939,960000039239,鸣石宽墨十一号私募证券投资基金
603005,晶方科技,2021-01-21,2021-02-02,2021-02-03,12,2300,2300,0,200491.00,0.00 %,9.00 %,50.12,0.00,--,0,18.00 %,202101210000000942,960000039239,鸣石宽墨十一号私募证券投资基金
