fund_account,asset_prop,exchange_type,stock_code,stock_name,stock_type,current_amount,hold_amount,enable_amount,last_price,cost_price,income_balance,hand_flag,market_value,av_buy_price,av_income_balance,cost_balance,uncome_buy_amount,uncome_sell_amount,entrust_sell_amount,real_buy_amount,real_sell_amount,asset_price,keep_cost_price,assure_ratio
960000039239,7,1,600776,东方通信,0,7900.000,7900.000,7900.000,11.580,12.248,-5278.360,0,91482.000,11.640,-2637.190,96760.360,0.000,0.000,0.000,0.000,0.000,11.580,12.248,0.650
960000039239,7,1,600059,古越龙山,0,49.000,49.000,49.000,12.860,232.811,-10777.610,0,630.140,13.046,-10751.510,11407.750,0.000,0.000,0.000,0.000,0.000,12.860,232.811,0.650
960000039239,7,2,002389,航天彩虹,0,6600.000,6600.000,6600.000,26.930,33.253,-41733.940,0,177738.000,28.501,-21730.260,219471.940,0.000,0.000,0.000,0.000,0.000,26.930,33.253,0.650
960000039239,7,1,511990,华宝添益,j,210194.000,210194.000,210194.000,99.999,98.446,326398.560,0,21019189.810,99.924,295958.140,20692791.250,0.000,0.000,0.000,0.000,0.000,99.999,98.446,0.950
960000039239,7,1,600967,内蒙一机,0,10000.000,10000.000,10000.000,10.750,12.071,-13208.140,0,107500.000,10.835,-5679.850,120708.140,0.000,0.000,0.000,0.000,0.000,10.750,12.071,0.650
960000039239,7,1,600862,中航高科,0,5600.000,5600.000,5600.000,33.630,38.877,-29384.630,0,188328.000,33.780,-12831.370,217712.630,0.000,0.000,0.000,0.000,0.000,33.630,38.877,0.650
960000039239,7,2,000100,TCL科技,0,21500.000,21500.000,21500.000,9.360,9.492,-2847.780,0,201240.000,9.497,871.750,204087.780,0.000,0.000,0.000,0.000,0.000,9.360,9.492,0.630
960000039239,7,2,002407,多氟多,0,10000.000,10000.000,10000.000,25.300,22.165,31352.560,0,253000.000,25.406,19666.920,221647.440,0.000,0.000,0.000,0.000,0.000,25.300,22.165,0.000
960000039239,7,2,000503,国新健康,0,7300.000,7300.000,7300.000,7.500,7.570,-511.910,0,54750.000,7.524,669.540,55261.910,0.000,0.000,0.000,0.000,0.000,7.500,7.570,0.000
960000039239,7,1,600855,航天长峰,0,6200.000,6200.000,6200.000,13.930,15.064,-7033.490,0,86366.000,13.911,-3141.330,93399.490,0.000,0.000,0.000,0.000,0.000,13.930,15.064,0.650
960000039239,7,1,600893,航发动力,0,2900.000,2900.000,2900.000,65.180,76.268,-32154.150,0,189022.000,69.879,-12303.050,221176.150,0.000,0.000,0.000,0.000,0.000,65.180,76.268,0.700
960000039239,7,2,000725,京东方Ａ,0,30700.000,30700.000,30700.000,6.930,6.638,8961.940,0,212751.000,6.865,7343.500,203789.060,0.000,0.000,0.000,0.000,0.000,6.930,6.638,0.680
960000039239,7,1,603005,晶方科技,0,2300.000,2300.000,2300.000,73.840,89.550,-36132.240,0,169832.000,78.204,-23080.640,205964.240,0.000,0.000,0.000,0.000,0.000,73.840,89.550,0.650
960000039239,7,1,603993,洛阳钼业,0,32100.000,32100.000,32100.000,6.370,6.181,6075.230,0,204477.000,6.180,0.000,198401.770,0.000,0.000,0.000,0.000,0.000,6.370,6.181,0.700
960000039239,7,1,600460,士兰微,0,7900.000,7900.000,7900.000,23.760,25.564,-14253.590,0,187704.000,24.023,-2457.670,201957.590,0.000,0.000,0.000,0.000,0.000,23.760,25.564,0.000
960000039239,7,2,002288,超华科技,0,10000.000,10000.000,10000.000,8.200,8.260,-604.570,0,82000.000,8.259,0.000,82604.570,0.000,0.000,0.000,0.000,0.000,8.200,8.260,0.000
960000039239,7,1,600616,金枫酒业,0,24000.000,24000.000,24000.000,7.660,8.097,-10480.600,0,183840.000,7.792,665.670,194320.600,0.000,0.000,0.000,0.000,0.000,7.660,8.097,0.520
960000039239,7,2,002460,赣锋锂业,0,1500.000,1500.000,1500.000,137.000,130.979,9031.230,0,205500.000,132.579,2544.350,196468.770,0.000,0.000,0.000,0.000,0.000,137.000,130.979,0.000
960000039239,7,2,300059,东方财富,c,5300.000,5300.000,5300.000,37.200,38.354,-6116.230,0,197160.000,37.833,784.050,203276.230,0.000,0.000,0.000,0.000,0.000,37.200,38.354,0.550
960000039239,7,2,380118,日升配债,3,0.000,0.000,292.000,100.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000
960000039239,7,1,603919,金徽酒,0,5100.000,5100.000,5100.000,35.490,35.665,-892.450,0,180999.000,35.660,0.000,181891.450,0.000,0.000,0.000,0.000,0.000,35.490,35.665,0.640
960000039239,7,2,000733,振华科技,0,3800.000,3800.000,3800.000,59.800,63.877,-15493.480,0,227240.000,59.898,-14785.720,242733.480,0.000,0.000,0.000,0.000,0.000,59.800,63.877,0.650
960000039239,7,2,002340,格林美,0,22100.000,22100.000,22100.000,8.240,8.160,1767.560,0,182104.000,8.484,5333.560,180336.440,0.000,0.000,0.000,0.000,0.000,8.240,8.160,0.600
960000039239,7,1,600543,莫高股份,0,27100.000,27100.000,27100.000,7.720,7.791,-1926.630,0,209212.000,7.790,0.000,211138.630,0.000,0.000,0.000,0.000,0.000,7.720,7.791,0.490
960000039239,7,1,600827,百联股份,0,10000.000,10000.000,10000.000,18.980,19.572,-5915.060,0,189800.000,19.330,1280.680,195715.060,0.000,0.000,0.000,0.000,0.000,18.980,19.572,0.640
960000039239,7,1,600733,北汽蓝谷,0,9500.000,9500.000,9500.000,9.760,9.921,-1533.190,0,92720.000,9.920,0.000,94253.190,0.000,0.000,0.000,0.000,0.000,9.760,9.921,0.000
960000039239,7,2,300618,寒锐钴业,c,1900.000,1900.000,1900.000,113.450,105.070,15922.680,0,215555.000,105.824,1812.230,199632.320,0.000,0.000,0.000,0.000,0.000,113.450,105.070,0.000
960000039239,7,2,300118,东方日升,c,7700.000,7700.000,7700.000,27.600,25.151,18853.630,0,212520.000,25.972,8714.830,193666.370,0.000,0.000,0.000,0.000,0.000,27.600,25.151,0.650
960000039239,7,1,600316,洪都航空,0,3900.000,3900.000,3900.000,44.800,55.603,-42132.460,0,174720.000,48.661,-14634.290,216852.460,0.000,0.000,0.000,0.000,0.000,44.800,55.603,0.000
960000039239,7,2,000738,航发控制,0,8300.000,8300.000,8300.000,22.600,24.237,-13585.190,0,187580.000,22.308,-6085.560,201165.190,0.000,0.000,0.000,0.000,0.000,22.600,24.237,0.650
960000039239,7,2,002156,通富微电,0,5000.000,5000.000,5000.000,27.120,32.877,-28785.040,0,135600.000,28.525,-19358.960,164385.040,0.000,0.000,0.000,0.000,0.000,27.120,32.877,0.000
960000039239,7,1,600773,西藏城投,0,22900.000,22900.000,22900.000,9.120,9.966,-19374.010,0,208848.000,9.481,-11074.110,228222.010,0.000,0.000,0.000,0.000,0.000,9.120,9.966,0.650
960000039239,7,1,603799,华友钴业,0,2400.000,2400.000,2400.000,107.000,85.422,51788.300,0,256800.000,100.270,18044.520,205011.700,0.000,0.000,0.000,0.000,0.000,107.000,85.422,0.000
960000039239,7,1,601919,中远海控,0,14300.000,14300.000,14300.000,14.480,13.210,18156.720,0,207064.000,14.448,17113.060,188907.280,0.000,0.000,0.000,0.000,0.000,14.480,13.210,0.650
960000039239,7,1,600415,小商品城,0,23400.000,23400.000,23400.000,5.060,5.252,-4494.390,0,118404.000,5.131,-982.050,122898.390,0.000,0.000,0.000,0.000,0.000,5.060,5.252,0.550
960000039239,7,2,300001,特锐德,c,1000.000,1000.000,1000.000,38.760,32.107,6652.920,0,38760.000,39.270,4879.810,32107.080,0.000,0.000,0.000,0.000,0.000,38.760,32.107,0.600
960000039239,7,2,002646,青青稞酒,0,11600.000,11600.000,11600.000,15.550,15.512,438.810,0,180380.000,15.510,0.000,179941.190,0.000,0.000,0.000,0.000,0.000,15.550,15.512,0.490
960000039239,7,2,002570,贝因美,0,26900.000,26900.000,26900.000,5.010,5.005,124.520,0,134769.000,5.230,5043.590,134644.480,0.000,0.000,0.000,0.000,0.000,5.010,5.005,0.000
960000039239,7,2,300274,阳光电源,c,2400.000,2400.000,2400.000,104.500,83.467,50478.850,0,250800.000,97.401,28978.450,200321.150,0.000,0.000,0.000,0.000,0.000,104.500,83.467,0.450
960000039239,7,2,000799,酒鬼酒,0,1200.000,1200.000,1200.000,172.660,192.221,-23473.430,0,207192.000,183.533,-9855.780,230665.430,0.000,0.000,0.000,0.000,0.000,172.660,192.221,0.550
960000039239,7,1,600559,老白干酒,0,7000.000,7000.000,7000.000,25.790,25.794,-25.270,0,180530.000,25.790,0.000,180555.270,0.000,0.000,0.000,0.000,0.000,25.790,25.794,0.650
960000039239,7,1,601058,赛轮轮胎,0,23300.000,23300.000,23300.000,8.970,9.004,-782.900,0,209001.000,8.607,-8292.570,209783.900,0.000,0.000,0.000,0.000,0.000,8.970,9.004,0.500
960000039239,7,2,300123,亚光科技,c,16600.000,16600.000,16600.000,10.740,11.246,-8393.880,0,178284.000,11.148,-1327.440,186677.880,0.000,0.000,0.000,0.000,0.000,10.740,11.246,0.650
960000039239,7,1,601766,中国中车,0,30600.000,30600.000,30600.000,6.760,6.845,-2586.330,0,206856.000,6.844,0.000,209442.330,0.000,0.000,0.000,0.000,0.000,6.760,6.845,0.700
