"证券代码","证券名称","起始日","归还日","到期日","剩余期限","合约数量","日初合约数量","已用数量","合约金额","使用费率","占用利率","预计占用利息","已还利息","展期后到期日","展期次数","违约金率","合约编号","资产账号","账户名称"
"601919	","中远海控","2021-02-02","2021-03-01","2021-03-02","26","1700","1700","1700","20536.00","0.00%","5.00%","5.70","0.00","--","0","18.00%","202102020000000013	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603299	","苏盐井神","2021-02-01","2021-02-26","2021-03-01","25","12800","12800","12800","104448.00","0.00%","8.50%","73.98","0.00","--","0","18.00%","202102010000002310	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002407	","多氟多","2021-02-01","2021-02-26","2021-03-01","25","4200","4200","4200","95760.00","0.00%","8.50%","67.83","0.00","--","0","18.00%","202102010000002298	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300598	","诚迈科技","2021-02-01","2021-02-26","2021-03-01","25","1200","1200","1200","94560.00","0.00%","8.50%","66.98","0.00","--","0","18.00%","202102010000002290	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300001	","特锐德","2021-02-01","2021-02-10","2021-02-15","11","1600","1600","1600","56896.00","0.00%","8.50%","40.30","0.00","--","0","18.00%","202102010000002286	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-02-01","2021-02-10","2021-02-15","11","3500","3500","3500","21805.00","0.00%","9.00%","16.35","0.00","--","0","18.00%","202102010000002245	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600655	","豫园股份","2021-02-01","2021-02-10","2021-02-15","11","19200","19200","19200","204288.00","0.00%","9.00%","153.22","0.00","--","0","18.00%","202102010000002238	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603993	","洛阳钼业","2021-02-01","2021-02-10","2021-02-18","14","1000","1000","1000","5960.00","0.00%","9.00%","4.47","0.00","--","0","18.00%","202102010000002230	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-02-01","2021-03-01","2021-03-02","26","1000","1000","1000","12080.00","0.00%","9.00%","9.06","0.00","--","0","18.00%","202102010000002228	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-02-01","2021-02-05","2021-02-08","4","24500","24500","24500","181790.00","0.00%","7.00%","106.04","0.00","--","0","18.00%","202102010000000058	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-02-01","2021-02-10","2021-02-15","11","1900","1900","1900","17157.00","0.00%","5.00%","7.15","0.00","--","0","18.00%","202102010000000057	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600059	","古越龙山","2021-01-29","2021-02-03","2021-02-04","0","16300","16300","0","201957.00","0.00%","9.00%","302.94","0.00","--","0","18.00%","202101290000000782	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002796	","世嘉科技","2021-01-29","2021-02-24","2021-02-25","21","16600","16600","16600","197042.00","0.00%","9.00%","295.56","0.00","--","0","18.00%","202101290000000778	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603377	","东方时尚","2021-01-29","2021-02-10","2021-02-11","7","5000","5000","5000","59250.00","0.00%","9.00%","88.88","0.00","--","0","18.00%","202101290000000776	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601766	","中国中车","2021-01-28","2021-02-10","2021-02-11","7","9100","9100","9100","59059.00","0.00%","8.50%","97.61","0.00","--","0","18.00%","202101280000001342	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603799	","华友钴业","2021-01-28","2021-02-23","2021-02-24","20","1900","1900","1900","191615.00","0.00%","9.00%","335.33","0.00","--","0","18.00%","202101280000001309	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-01-28","2021-02-10","2021-02-17","13","13900","13900","13900","181117.00","0.00%","5.00%","176.09","0.00","--","0","18.00%","202101280000000088	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300059	","东方财富","2021-01-28","2021-02-10","2021-02-18","14","5400","5400","5400","195480.00","0.00%","7.00%","266.07","0.00","--","0","18.00%","202101280000000087	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300014	","亿纬锂能","2021-01-28","2021-02-19","2021-02-22","18","1800","1800","1800","196200.00","0.00%","7.00%","267.05","0.00","--","0","18.00%","202101280000000086	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-10","2021-02-12","8","15000","15000","15000","133200.00","0.00%","5.00%","129.50","0.00","--","0","18.00%","202101280000000085	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-01-28","2021-02-10","2021-02-15","11","28900","28900","28900","184382.00","0.00%","5.00%","179.26","0.00","--","0","18.00%","202101280000000084	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-08","2021-02-09","5","6400","6400","6400","56832.00","0.00%","5.00%","55.25","0.00","--","0","18.00%","202101280000000083	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603026	","石大胜华","2021-01-28","2021-02-09","2021-02-10","6","1300","1300","1300","86320.00","0.00%","7.00%","117.49","0.00","--","0","18.00%","202101280000000043	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002092	","中泰化学","2021-01-28","2021-02-09","2021-02-10","6","11700","11700","11700","96993.00","0.00%","7.00%","132.02","0.00","--","0","18.00%","202101280000000042	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000301	","东方盛虹","2021-01-28","2021-02-09","2021-02-10","6","7000","7000","7000","95970.00","0.00%","7.00%","130.63","0.00","--","0","18.00%","202101280000000041	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000301	","东方盛虹","2021-01-27","2021-02-09","2021-02-10","6","6600","6600","6600","97482.00","0.00%","8.50%","184.13","0.00","--","0","18.00%","202101270000001312	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002092	","中泰化学","2021-01-27","2021-02-09","2021-02-10","6","11600","11600","11600","99644.00","0.00%","8.50%","188.22","0.00","--","0","18.00%","202101270000001308	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603026	","石大胜华","2021-01-27","2021-02-09","2021-02-10","6","1600","1600","1600","110992.00","0.00%","8.50%","209.65","0.00","--","0","18.00%","202101270000001304	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002646	","青青稞酒","2021-01-27","2021-02-05","2021-02-08","4","1000","1000","1000","15550.00","0.00%","9.00%","31.10","0.00","--","0","18.00%","202101270000001299	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300014	","亿纬锂能","2021-01-27","2021-02-19","2021-02-22","18","1900","1900","1900","216277.00","0.00%","7.00%","336.43","0.00","--","0","18.00%","202101270000000139	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-01-27","2021-02-05","2021-02-08","4","1200","1200","1200","9264.00","0.00%","7.00%","14.41","0.00","--","0","18.00%","202101270000000026	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002288	","超华科技","2021-01-26","2021-02-08","2021-02-09","5","10000","10000","10000","81800.00","0.00%","8.50%","173.83","0.00","--","0","18.00%","202101260000000786	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","5","400","400","400","3392.00","0.00%","9.00%","7.63","0.00","--","0","18.00%","202101260000000782	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600733	","北汽蓝谷","2021-01-26","2021-02-08","2021-02-09","5","9500","9500","9500","94620.00","0.00%","8.50%","201.07","0.00","--","0","18.00%","202101260000000762	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","5","9800","9800","9800","83104.00","0.00%","9.00%","186.98","0.00","--","0","18.00%","202101260000000741	","960000039239	","鸣石宽墨十一号私募证券投资基金"
