Id,Quota,ShortQty,Holding,AvlQtyToSS
36,10000,0,0,10000
100,1000,1000,0,0
625,1000,1000,0,0
725,1000,1000,0,0
728,1000,1000,0,0
733,2000,2000,0,0
793,1000,1000,0,0
990,100,100,0,0
2007,1000,1000,0,0
2027,10000,10000,0,0
2074,1000,1000,0,0
2202,1000,1000,0,0
2214,1000,1000,0,0
2241,100,100,0,0
2407,10000,0,0,10000
2555,11000,1000,0,10000
2271,2000,2000,0,0
2340,1000,1000,0,0
2389,1000,1000,0,0
2444,10000,10000,0,0
2466,1000,1000,0,0
2602,10000,10000,0,0
2739,1000,1000,0,0
2796,1000,1000,0,0
300027,1000,1000,0,0
300010,10000,0,0,10000
300124,10000,1000,0,9000
300251,100,100,0,0
300274,1000,1000,0,0
300630,1000,1000,0,0
600221,10000,0,0,10000
600315,1100,1100,0,0
600316,1000,1000,0,0
603444,1000,1000,0,0
600531,10000,10000,0,0
600676,2000,2000,0,0
600733,10000,10000,0,0
600764,1000,1000,0,0
600804,1000,1000,0,0
600812,10000,1000,0,9000
600884,10000,10000,0,0
601099,1000,1000,0,0
601128,10000,0,0,10000
601633,1000,1000,0,0
601865,1000,1000,0,0
603606,10000,0,0,10000
603712,1000,1000,0,0
603881,10000,0,0,10000
688036,1200,1200,0,0
688068,1000,1000,0,0
688116,8600,1400,0,7200
