Id,Quota,ShortQty,Holding,AvlQtyToSS
36,10000,0,0,10000
100,1000,1000,0,0
625,1000,1000,0,0
725,1000,1000,0,0
728,1000,1000,0,0
733,2000,2000,0,0
793,1000,1000,0,0
990,100,100,0,0
2007,1000,1000,0,0
2025,1000,1000,0,0
2027,10000,10000,0,0
2074,1000,1000,0,0
2202,1000,1000,0,0
2214,1000,1000,0,0
2241,100,100,0,0
2271,3000,3000,0,0
2340,1000,1000,0,0
2389,1000,1000,0,0
2444,10000,10000,0,0
2466,1000,1000,0,0
2602,10000,0,0,10000
2739,1000,1000,0,0
300027,1000,1000,0,0
300072,1000,1000,0,0
300251,100,100,0,0
300618,1000,1000,0,0
300630,1000,1000,0,0
600196,1000,1000,0,0
600221,10000,10000,0,0
600315,1100,1100,0,0
600316,1000,1000,0,0
600438,1000,1000,0,0
600531,10000,0,0,10000
600676,2000,2000,0,0
600733,10000,10000,0,0
600764,1000,1000,0,0
600884,10000,0,0,10000
600977,1000,1000,0,0
601099,1000,1000,0,0
601633,1000,1000,0,0
601865,1000,1000,0,0
603712,1000,1000,0,0
688068,1000,1000,0,0
688116,1000,400,0,0
