Id,Holding,LongQty
100,29600,29600
157,21200,21200
503,20200,20200
625,4600,4600
725,40000,40000
768,2000,2000
813,7,7
830,13900,13900
2007,1000,1000
2027,20600,20600
2074,1000,1000
2085,26000,26000
2153,1000,1000
2202,1000,1000
2214,6200,6200
2238,29300,29300
2271,2000,2000
2294,1600,1600
2353,7000,7000
2382,1000,1000
2460,200,200
2466,4170,4170
2670,700,700
2739,5400,5400
2812,1400,1400
300072,5600,5600
300122,1600,1600
300124,1000,1000
300134,19600,19600
300168,10200,10200
300251,100,100
300274,1000,1000
300296,29800,29800
300326,13400,13400
300357,3000,3000
300482,2200,2200
300496,1800,1800
600004,13200,13200
600075,35400,35400
600176,1000,1000
600362,2300,2300
600395,24000,24000
600531,36000,36000
600733,24200,24200
600760,2600,2600
600804,21100,21100
600884,10800,10800
600895,10600,10600
601238,1000,1000
601717,17200,17200
601899,22400,22400
601919,13400,13400
603678,200,200
603799,2800,2800
603993,10000,10000
688011,3605,3605
688015,4748,4748
688021,2750,2750
688022,3506,3506
688030,6487,6487
688068,1401,1401
688099,2300,2300
688108,953,953
688116,4536,4536
688138,4003,4003
688196,3301,3301
688288,4700,4700
688300,1500,1500
688321,4487,4487
688389,9573,9573
688321,4507,4507
688389,9635,9635
