仓位
账户,代码,名称,股数,浮盈,均价
msm7haiti,000830,undefined,-13900,-100.45,12.43
msm7haiti,300326,undefined,-13400,1121.11,16.48
msm7haiti,601717,undefined,-12800,32.71,10.37
msm7haiti,002353,undefined,-7000,2035.13,33.71
msm7haiti,300072,undefined,-5600,-386.55,5.63
msm7haiti,300142,undefined,-5500,1237.67,38.39
msm7haiti,688116,undefined,-4500,1584.93,55.80
msm7haiti,002466,undefined,-4100,-2912.65,35.65
msm7haiti,688030,undefined,-2900,-342.21,29.99
msm7haiti,603799,undefined,-2800,-8391.03,67.99
msm7haiti,300357,undefined,-2000,-603.97,74.96
msm7haiti,688389,undefined,-1800,-339.42,20.60
msm7haiti,300274,undefined,-1000,-124.35,71.47
msm7haiti,002382,undefined,-1000,-5.67,22.30
msm7haiti,002202,undefined,-1000,-152.45,14.01
msm7haiti,002074,undefined,-1000,221.45,36.65
msm7haiti,601238,undefined,-1000,88.80,13.27
msm7haiti,002007,undefined,-1000,-37.70,42.32
msm7haiti,688108,undefined,-900,-81.51,13.14
msm7haiti,688021,undefined,-845,-427.71,62.54
msm7haiti,002460,undefined,-200,-835.60,98.00
msm7haiti,688015,undefined,-200,48.12,37.18
msm7haiti,688288,undefined,-100,11.29,35.69
msm7haiti,300251,undefined,-100,15.22,11.18
msm7haiti,000625,undefined,1600,-1112.41,21.79
msm7haiti,688099,undefined,2300,-2134.01,74.30
msm7haiti,600765,undefined,3500,-1614.20,19.85
msm7haiti,002238,undefined,8000,298.34,7.12
msm7haiti,000100,undefined,29600,-915.02,6.71
总利润：,-13822.170632000001



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:51:31,msm7haiti,SJNAT8afee9447ed740629e9b283d148d1085,244,688389,普门科技,20.6,-1000,20.6,-1000,0,已成
09:52:25,msm7haiti,SJNATa5d5d516921d404492d4a0c0d9a58445,249,688389,普门科技,20.64,-1000,0,0,1000,已撤
10:00:54,msm7haiti,SJNATae4f5a8f4c88457a9552345d2be619bb,270,688389,普门科技,20.75,-1000,20.75,-100,900,已撤
09:49:23,msm7haiti,SJNAT5b1b985bc2bb41aab10c4ebf6eb616d9,232,688288,鸿泉物联,35.37,100,0,0,0,废单
09:49:29,msm7haiti,SJNAT4c3e2dfc95904e599647dde532580007,233,688288,鸿泉物联,35.39,100,0,0,0,废单
09:49:32,msm7haiti,SJNAT18bfb314355b49a084d6c2d9e619b676,235,688288,鸿泉物联,35.39,100,0,0,0,废单
09:43:29,msm7haiti,SJNATb95610a080664b8ca3e4676997cb07e6,194,688196,卓越新能,64.82,300,0,0,300,已撤
09:45:29,msm7haiti,SJNAT859343f43d21458eb5c948cb1b247bb1,209,688196,卓越新能,65.2,-500,65.2134,-500,0,已成
09:51:53,msm7haiti,SJNAT2d40117d2c6345c7b8ede0d666d6f0b5,245,688196,卓越新能,64.98,-300,0,0,300,已撤
09:35:59,msm7haiti,SJNAT7b70eb1888ed415fa9aef57723dbaa1b,142,688138,清溢光电,23.04,-4000,0,0,4000,已撤
09:36:33,msm7haiti,SJNATfb2d7a02be2a4fe5964b6875847c62bb,152,688138,清溢光电,23.03,-3200,0,0,3200,已撤
09:33:31,msm7haiti,SJNAT5b22a02292874134a72ad23404c0d558,116,688116,天奈科技,55.18,-100,0,0,0,废单
09:35:01,msm7haiti,SJNAT54213f4615c947ce87f864d93f7f177c,131,688116,天奈科技,55.7,-4500,55.80136,-4500,0,已成
09:35:25,msm7haiti,SJNATadb5eb23b66e414692882c909e227d49,133,688108,赛诺医疗,13.17,-700,13.1749,-700,0,已成
09:41:32,msm7haiti,SJNAT904eae16bd454cc1a4d4e14c11c38e4a,181,688099,晶晨股份,74.37,2300,74.3,2300,0,已成
09:33:31,msm7haiti,SJNAT120c11c169554cdab146d310f4b0a2e8,117,688030,山石网科,29.99,-2300,29.99391,-2300,0,已成
09:33:32,msm7haiti,SJNAT09bfce538caf485aa4a5ce43252a7217,118,688030,山石网科,29.98,-900,29.98,-900,0,已成
09:48:32,msm7haiti,SJNATb38ecea1952641e58a5b3f85bbc3fa40,225,688030,山石网科,30.12,300,30.12,300,0,已成
09:35:59,msm7haiti,SJNAT097a836b0e4b4f13916f10070249a0d8,141,688022,瀚川智能,33.26,-1000,0,0,1000,已撤
09:36:32,msm7haiti,SJNAT7861db4c0e35434c91621306568156c2,151,688022,瀚川智能,33.14,-500,33.14,-500,0,已成
09:40:33,msm7haiti,SJNAT1bff578baf294a04b958740ec7d2d3ad,172,688022,瀚川智能,32.75,500,32.75,500,0,已成
09:43:30,msm7haiti,SJNAT9cbd18f19e3f4e5386ee340b68498683,195,688022,瀚川智能,32.6,3000,0,0,3000,已撤
09:52:23,msm7haiti,SJNAT9fb70198d409445aa6bf0e7d05c021b1,248,688022,瀚川智能,32.23,3000,0,0,3000,已撤
09:41:25,msm7haiti,SJNAT13f5b7fa931847fbbef566ee04987403,176,688021,奥福环保,62,-800,0,0,800,已撤
09:41:32,msm7haiti,SJNAT9d5a46c8b6a24246b3f2eaaaa41f4a60,180,688021,奥福环保,61.97,-500,0,0,500,已撤
09:41:58,msm7haiti,SJNAT19a3c11d354749b38b6868b477e4b6a0,185,688021,奥福环保,61.91,-800,0,0,800,已撤
09:42:01,msm7haiti,SJNATd76f39eca6b4414ea58e8e47bf7f3b1c,188,688021,奥福环保,61.91,-500,0,0,500,已撤
09:43:54,msm7haiti,SJNATefbc19c32dd34bf485278dda0568d1e8,197,688021,奥福环保,62.19,-600,0,0,600,已撤
09:46:25,msm7haiti,SJNAT44ab9f33f20548a1b55b9f789d117a32,215,688021,奥福环保,62.88,-200,62.88,-200,0,已成
09:46:32,msm7haiti,SJNAT19c173c2a6e5487085467d21bb1200b1,216,688021,奥福环保,62.93,-2400,0,0,2400,已撤
09:47:31,msm7haiti,SJNAT533f8931a13e4735b754e184658623bd,219,688021,奥福环保,62.61,-800,0,0,800,已撤
09:48:32,msm7haiti,SJNATa9c195e44afa4b59aebbf2a2cb67a597,224,688021,奥福环保,62.64,-500,0,0,500,已撤
09:48:57,msm7haiti,SJNAT7430d1350f2b4c48bb43724f8ab812cf,228,688021,奥福环保,62.64,-500,0,0,500,已撤
09:49:55,msm7haiti,SJNAT9a3d2420c43c41af80d7f0769b0564f5,236,688021,奥福环保,62.41,-1600,0,0,1600,已撤
09:52:26,msm7haiti,SJNATcc279cb983e7402eac3f9b016411e389,250,688021,奥福环保,62.42,-600,62.42333,-600,0,已成
09:56:25,msm7haiti,SJNATaf6f0f71e6f7400a8af6851f8ffa7aa6,255,688021,奥福环保,62.61,-200,0,0,200,已撤
09:56:32,msm7haiti,SJNAT3894bc26937442b48ada88feaa31cacf,257,688021,奥福环保,62.58,-200,0,0,200,已撤
09:56:53,msm7haiti,SJNATa5cf1835db4c4630a8817fe544896df0,259,688021,奥福环保,62.57,-200,0,0,200,已撤
09:56:59,msm7haiti,SJNATe11c16e34b034301bcc57e35d46f2c2e,261,688021,奥福环保,62.56,-200,0,0,200,已撤
09:57:53,msm7haiti,SJNAT1b7e3f9f27e84a5b89f4194d0031d8ca,264,688021,奥福环保,62.66,-500,62.66,-45,455,已撤
09:59:25,msm7haiti,SJNAT2e3208bc09434b6f975a80950cc21063,266,688021,奥福环保,63,-500,0,0,500,已撤
09:59:32,msm7haiti,SJNATf9cdc90a569e447face47a98c9fc1c77,267,688021,奥福环保,62.99,-200,0,0,200,已撤
09:34:58,msm7haiti,SJNAT45c4b0e0fd8c40498e4432eca01acf37,128,688015,交控科技,37.18,-200,37.18,-200,0,已成
09:35:26,msm7haiti,SJNATd6fad48ecb454f4fb28f4b2ceb7e0fa3,134,688015,交控科技,37.18,-2200,0,0,2200,已撤
09:37:53,msm7haiti,SJNAT7128bbdd6c1448f5aff820eeb08c2e19,156,688015,交控科技,37.32,-1200,0,0,1200,已撤
09:35:01,msm7haiti,SJNATa7bf513f6123498986c61c04031fb02d,132,688011,新光光电,49.32,800,0,0,800,已撤
09:39:56,msm7haiti,SJNATbeba76e865c24f19b5e441cb84ea3f0d,167,688011,新光光电,49.76,500,0,0,500,已撤
09:41:53,msm7haiti,SJNAT89091c93b20d441c8d6e8d5c3bd2c234,183,688011,新光光电,49.95,300,0,0,300,已撤
09:33:24,msm7haiti,SJNAT1be05e3077f64435ac452c29b695e095,113,603678,火炬电子,62.05,2000,62.05,2000,0,已成
09:33:31,msm7haiti,SJNATc4c26d34ef1e44cca2ed03aa36a89a43,115,603678,火炬电子,62.05,200,62.05,200,0,已成
09:33:54,msm7haiti,SJNAT22f56cd692fe49f99b321cfd8842a677,120,603678,火炬电子,62.12,1200,62.11167,1200,0,已成
09:33:59,msm7haiti,SJNAT4260cd2779f84270802b10871a863826,123,603678,火炬电子,62.22,200,62,200,0,已成
09:37:53,msm7haiti,SJNAT9ab241c110b54013ab0ddf5101c7e99e,157,603678,火炬电子,63.37,-900,63.37111,-900,0,已成
09:37:58,msm7haiti,SJNAT6e960493c09c40999baba2af14eb9ade,158,603678,火炬电子,63.43,-1600,0,0,1600,已撤
09:38:24,msm7haiti,SJNAT20767c16c79a49c6b43adccd91617b8e,163,603678,火炬电子,62.92,-1300,62.92,-1300,0,已成
09:38:31,msm7haiti,SJNAT5f94934b7d0a4455b08ac4daefd5bae6,164,603678,火炬电子,62.85,-700,62.91,-700,0,已成
09:52:56,msm7haiti,SJNAT219ff6bbfe0f4543adbab9448c13636b,253,601919,中远海控,10.8,13400,10.8,13400,0,已成
