stock_code,current_amount,cost_price,income_balance,last_price
768,18500,0,515187.65,33.42
786,6800,0,-17801.44,36.76
789,0,0,0,
791,22400,0,14653.47,4.55
795,400,0,-72.33,5.37
796,800,0,146.28,13.5
799,5800,0,639099.29,144.88
800,800,0,98.86,11.57
801,0,0,0,
807,66607,0,-125025.78,7.36
811,21200,0,28959.81,8.5
818,0,0,0,
828,1200,0,-13.72,9.56
830,13200,0,180449.04,12.77
831,32400,0,-71510.73,12.71
848,5500,0,348.11,7.04
860,13900,0,104425.61,68.9
863,8500,0,-4331.8,4.53
869,5500,0,1526.43,43.41
875,6200,0,2704.17,4.28
876,17700,0,9669.13,22.42
877,0,0,0,
878,4288,0,58359.19,14.18
881,700,0,1414.8,10.73
886,2400,0,-25.77,4.92
887,600,0,1215.04,11.45
893,3400,0,586.71,8.57
900,1600,0,159.98,4.35
901,300,0,-6.44,9.67
511990,80,0,739629.56,99.98
600004,900,0,-31928.56,13.37
600006,266977,0,248812.31,9.16
600007,100,0,-89.96,12.15
600009,4500,0,-61963.59,72.95
600011,9400,0,-1384.47,4.57
600012,200,0,5.8,5.97
600019,77600,0,-7908.89,5.88
600021,2400,0,-520.81,7.19
600025,2100,0,-85.62,4.49
600026,4400,0,-8534.85,6.69
603300,100,0,-11.94,6.09
603303,200,0,-372.08,10.48
603306,15170,0,2434.49,22.51
603308,7675,0,-6210.04,28.08
603309,100,0,-441.34,12.46
603317,2600,0,-7658.42,71.35
603319,600,0,-18604.79,38.53
603323,6800,0,-21838.01,4.85
603327,200,0,-507.73,19.23
603330,3200,0,-112761.65,29.48
603332,100,0,-3238.31,17.07
603333,0,0,0,
603337,1426,0,44208.42,29.68
603338,100,0,26286.22,99.15
603345,2400,0,62682.63,189.35
603348,4420,0,-75348.96,27.61
603355,100,0,30.44,29.95
603357,100,0,-14.16,9.08
603358,0,0,0,
603359,200,0,-454.48,15.43
603368,100,0,-21.36,21.28
603369,9400,0,-25690.43,55.29
603377,1200,0,47.16,18.87
603378,38264,0,-570651.67,42.18
603383,100,0,-885.85,30.8
603385,100,0,22.82,10.7
603387,100,0,-65.54,31.06
603416,400,0,-1758.56,87.45
603444,1100,0,7819.38,415
903,7100,0,-1770.68,4.25
905,100,0,20.99,7.26
906,100,0,-46.83,6.49
908,1600,0,-491.07,4.62
910,4400,0,-12443.05,14.22
913,1000,0,-822.2,27.17
921,1000,0,-22623.76,14.1
922,14600,0,-933.66,8.12
923,18500,0,-16735.3,26.41
926,100,0,-2.08,5.01
930,8800,0,-6676.34,8.21
932,6400,0,-1286.71,4.71
933,36639,0,-15205.1,7.96
936,24200,0,-3675.94,7.72
937,22600,0,-2376.86,4.12
938,600,0,-1040.02,20.29
951,200,0,123.08,31.09
955,5100,0,7972.82,8.18
960,46500,0,-15108.23,10.93
961,9889,0,-65213.96,8.74
966,2800,0,-815.83,3.95
967,8700,0,-2584.7,7.96
968,8200,0,-473.85,8.07
969,300,0,-1130.64,6.38
970,400,0,-2471.87,9.1
975,1800,0,-14.23,8.68
976,300,0,-2886.12,5.1
983,90000,0,-34888.1,5.46
987,2100,0,286.14,13.67
600029,30600,0,-20575.47,5.76
600036,27700,0,-36085.79,42.83
600038,4400,0,15453.19,58.01
600039,4400,0,-4240.49,4.45
600053,100,0,170.09,20.24
600054,300,0,-47.71,8.74
600055,0,0,0,
600056,300,0,26.28,14.13
600057,500,0,14.5,5.96
600058,700,0,-625.12,7.05
600059,48100,0,119319.75,15.68
600060,1200,0,-239.44,11.05
600066,6300,0,-2250.4,16.84
600070,1000,0,-150.79,8.28
600073,0,0,0,
600075,1700,0,-1.6,5.57
600079,1700,0,1403.17,32.08
600081,7897,0,28293.65,16.69
600089,124200,0,-10023.77,9.77
600096,2900,0,212.28,5.63
600104,21100,0,-163414.66,23.82
600109,10700,0,-31892.34,15.39
600110,121300,0,-206585.36,8.68
600114,0,0,0,
600115,17800,0,-10691.49,4.52
600116,300,0,-63.43,8.28
600123,8700,0,-1963.14,5.68
600125,500,0,399.66,6.53
600126,1600,0,-176.82,5.22
603456,6100,0,-596.1,34.13
603466,700,0,-471.54,22.85
603489,200,0,2944.43,186
603496,0,0,0,
603501,1600,0,-9760.23,221.7
603515,100,0,-3061.19,29.58
603516,0,0,0,
603517,27601,0,-70397.86,74.21
603520,2300,0,-4815.48,64.19
603528,500,0,-78.04,9.3
603535,5700,0,-27701.44,41.32
603556,100,0,-169.14,13.79
603557,30800,0,13054.92,9.33
603558,100,0,29.77,8.22
603566,200,0,-764.67,21.5
603568,700,0,-104.11,19.16
603569,0,0,0,
603583,1200,0,-26900.45,67.35
603587,100,0,-45721.12,18.58
603588,800,0,205.17,13.73
603589,4500,0,-7089.42,64.1
603590,100,0,-1601.93,35.37
603595,100,0,-241.99,19.98
603596,400,0,18.36,33.17
603599,600,0,14122.63,22.5
603600,100,0,-37.84,13.12
603601,1400,0,866.78,13.59
603605,1400,0,1234.93,165.1
603606,6000,0,-14764.98,24.15
988,100,0,349.01,23.4
989,100,0,-13.12,7.78
990,200,0,-73.39,11.84
997,600,0,-1122.61,15.15
998,82000,0,-28632.54,18.74
1696,500,0,-100.58,7.53
1896,28000,0,251265.8,9.79
1914,1100,0,-2020.71,20.64
2003,600,0,-1258.42,6.68
2004,0,0,0,
2007,20100,0,-88718.23,40.9
2008,8600,0,42682.63,38.78
2010,300,0,11.79,4.63
2013,11200,0,-13994.98,10.26
2015,6800,0,1629.99,6.38
2016,0,0,0,
2019,0,0,0,
2022,0,0,0,
2023,10600,0,353.23,16.26
2024,900,0,-73.19,7.59
2025,2400,0,14295.38,58.8
2026,60400,0,-10780.15,11.22
2027,160803,0,-63682.11,9.62
2028,8300,0,-1126.75,19.86
2029,300,0,-31.39,5.21
2030,7705,0,16836.45,34.46
2034,0,0,0,
2036,0,0,0,
2038,200,0,3.7,10
600129,600,0,-229.41,13.33
600132,800,0,148.81,115.36
600133,0,0,0,
600136,500,0,-9057.65,6.52
600138,600,0,-13228.19,10
600141,920,0,-23608.02,10.7
600143,10800,0,432.86,17
600155,0,0,0,
600158,7900,0,-16346.2,12.02
600160,4800,0,-607.05,8.11
600161,3704,0,-7954.56,42.65
600167,200,0,-133.05,11.18
600168,200,0,-16.22,6.86
600176,71100,0,101874.54,19.8
600183,1400,0,-22939.35,27.72
600184,3800,0,-23769.08,10.58
600185,27200,0,-34005.29,6.54
600188,7600,0,-56191.06,10.03
600189,170750,0,208605.95,12.14
600195,400,0,-2231.82,12.38
600196,14400,0,-34527.4,51.58
600197,43610,0,91884.75,27.66
600199,7100,0,602675.32,20.18
600201,300,0,-9628.89,20.81
600203,14800,0,661.18,9.73
600206,0,0,0,
600207,7000,0,5703.48,6.52
600216,400,0,-28.91,13.2
600217,0,0,0,
603611,100,0,13.76,13.96
603612,5000,0,6495.76,13.49
603613,600,0,5028.44,119.7
603618,200,0,-383.44,5.76
603626,11800,0,-17687.8,10.99
600218,400,0,-313.78,9.03
600233,1600,0,150.91,11.46
600251,8400,0,465.12,7.31
600258,8752,0,-27157.05,20.26
600259,800,0,-1578.18,28.88
600266,200,0,-45.61,5.12
600271,100,0,13.8,12.37
600273,2100,0,-328.36,9.28
600276,29600,0,249292.46,108.28
600278,200,0,-59.3,8.51
600283,100,0,-142.85,10.04
600295,12300,0,12114.17,10.64
600298,26000,0,81844.5,48.95
600299,200,0,-28.38,11.21
600300,205028,0,-96338.28,4.41
600305,13000,0,-39395.14,21.43
600308,700,0,-2335.28,5.08
600309,2100,0,1869.42,89.35
600312,10000,0,654.84,7.09
600315,0,0,0,
600316,16000,0,461012.08,48
600323,500,0,212.34,24.11
600326,300,0,29.65,6.98
600328,200,0,-7.11,6.66
600329,2800,0,-1627.67,17.6
600330,7800,0,3091.28,9.84
600335,6500,0,-1363.66,4.99
600337,1300,0,-1.01,4.54
600338,24500,0,-24374.04,9.33
600346,6700,0,871.52,28.27
600348,18300,0,-6320.58,5.6
600350,200,0,-3414.09,6.05
600352,900,0,24.94,13.48
600362,5800,0,48748.97,19.74
600363,8300,0,-34718.55,23.94
600366,700,0,-1830.42,6.17
600372,4400,0,-3166.11,18.25
600373,200,0,28.66,10.13
600376,100,0,6.9,5.89
600378,300,0,-313.42,20.3
600380,2100,0,-21439.91,14.04
600382,98,0,-22669.14,5.57
600383,0,0,0,
600388,500,0,-92.25,8.92
600389,700,0,-1787.43,20.47
600391,300,0,-23999.55,24.52
600392,8790,0,-76082.41,8.12
600395,37232,0,-24440.61,7.87
600398,200,0,-89.69,6.11
600406,6000,0,-972.01,26.34
600409,5700,0,-25163.26,8.55
600410,100,0,94.61,8.85
600418,128251,0,739428.81,11.7
600419,2500,0,-2659.36,14.58
600420,200,0,-54.33,9.38
600426,2000,0,2686.98,37.78
600429,1400,0,-312.86,4.97
600435,0,0,0,
600436,1900,0,5496.91,244
600438,51713,0,901654.26,36.95
600446,200,0,19.47,15.87
600449,0,0,0,
600452,500,0,-250.45,16.51
600459,3700,0,-2705.73,25.85
600460,36387,0,156384.58,25.29
600461,300,0,-125.89,6.74
600468,0,0,0,
600475,200,0,-131.4,11.28
600478,0,0,0,
600482,100,0,-0.29,17.28
600483,1000,0,-243.39,7.87
600486,700,0,-333.34,128.4
600487,600,0,-85.44,13.97
600488,2800,0,-674.49,4.97
600489,1800,0,-209.7,8.7
600490,46500,0,15190.11,4.54
600491,0,0,0,
600495,0,0,0,
600496,0,0,0,
600497,29500,0,-10189.17,4.74
600498,0,0,0,
600499,32700,0,-4926.75,6.79
600501,600,0,-55,9.68
600507,2300,0,-21576.12,6.65
600508,19100,0,-482.29,10.25
600510,100,0,3.89,6.78
600515,0,0,0,
603638,600,0,990.52,68.9
603650,100,0,-2788.12,29.98
603655,7800,0,-18539.01,21.18
603658,1300,0,-1272.77,147.85
603659,6201,0,-64948.65,109.36
603660,100,0,26.93,7.22
603665,6200,0,-27291.35,27.13
600516,1600,0,-385.87,6.63
600517,1200,0,-234.87,5.8
600521,4900,0,-21662.35,31.89
600525,8600,0,-1674.84,6.38
600531,24000,0,260.74,5.84
600532,1400,0,1053.2,13.59
600535,400,0,-859.11,14.81
600536,1900,0,-3367.7,75.76
600546,73300,0,-25706.52,8.77
600548,100,0,-0.53,8.92
600549,38000,0,-33547.69,16.58
600550,500,0,134.15,5.09
600551,0,0,0,
600556,600,0,1.08,12.19
600557,0,0,0,
600559,68250,0,409996.05,30.71
600562,1600,0,694.57,16.39
600570,15800,0,-43928.8,94.18
600580,51695,0,133835.27,14.64
600583,2500,0,-220.91,4.4
600584,2700,0,15827.26,39.71
600586,75650,0,-57475.44,5.53
600588,2700,0,6465.81,42.76
600590,8600,0,-824.21,5.53
600594,100,0,-5.5,5.22
600596,1600,0,-5379.3,10.72
600597,7700,0,-3697.33,16.61
600600,7000,0,-39088.19,99.12
600602,100,0,4.91,5.52
603666,400,0,684.68,92
603669,300,0,-6.99,8.34
603676,200,0,-263.73,9.02
603678,100,0,152952.77,64.2
603680,1200,0,28.14,14.08
603693,2300,0,1630.64,12.43
603697,0,0,0,
603698,400,0,96.76,11.52
603699,700,0,-1979.91,12.56
603700,100,0,31.9,28.13
603707,0,0,0,
603708,28500,0,-134280.87,21.65
603711,8671,0,-32400.21,21.24
603713,900,0,24924.09,127.42
603718,400,0,-275.49,12.1
603727,0,0,0,
603728,1600,0,-298.2,15.29
603730,985,0,-2682.85,27.39
603733,29200,0,-54614.52,24.15
603755,500,0,-81.96,78.05
603758,4400,0,-542.72,9.49
603786,1200,0,-8421.65,66.99
603787,27200,0,-212435.56,29.81
603799,29700,0,133800.2,69.61
603801,400,0,-1486.62,32.09
603803,600,0,-86.64,10.95
603806,200,0,22960.43,84.7
603808,100,0,19.09,12.58
603809,700,0,80.25,20.89
600603,300,0,-8.2,4.83
600606,0,0,0,
600609,6400,0,630.09,5.49
600612,100,0,-20.76,44.6
600618,100,0,-35.12,7.26
600620,100,0,15.9,6.24
600623,100,0,-144.01,5.72
600624,200,0,-87.33,7.95
600633,100,0,-6.22,8.01
600635,100,0,-4.07,4.24
600636,2000,0,-952.01,13.48
600637,200,0,-27.31,8.8
600639,0,0,0,
600640,300,0,-321.08,12.37
600645,0,0,0,
600648,100,0,-12.24,13.93
600655,200,0,-6.28,8.07
600657,0,0,0,
600658,100,0,4.19,5.35
600661,100,0,-165.77,14.73
600662,200,0,-25.29,8.21
600673,700,0,-0.6,5.05
600676,2200,0,-889.93,4.78
600681,400,0,-51.14,5.1
600682,0,0,0,
600685,3100,0,-2754.9,24.16
600686,1900,0,1462.35,8.16
600690,7200,0,-42875.07,27.97
600693,1400,0,-877.69,4.38
600699,2560,0,-1400.43,24.97
603816,900,0,-1180.98,68.25
603818,400,0,-132.12,8.83
603823,400,0,-3.04,14.96
603826,200,0,-3363.65,35.42
603848,100,0,-427.12,12.22
603855,100,0,132.45,16.16
603859,300,0,-14686.41,33.42
603866,900,0,-4866.36,59.17
603868,400,0,-667.44,46.85
603871,200,0,17.3,20.76
603876,1100,0,-267.63,13.8
603877,668,0,-158681.54,30.32
603881,100,0,-293.48,58.12
603883,2700,0,-34317.67,63.55
603885,3000,0,-15487.84,11.22
603886,400,0,-413.17,16.92
603887,100,0,-36.63,17.38
603890,100,0,-17.62,10.95
603896,2200,0,217.46,34.5
603899,600,0,103415.69,87.77
603901,500,0,-9135.28,8.41
603906,4800,0,34103.58,31.65
603915,35,0,-40697.1,26.68
603916,100,0,-3.47,23.22
603920,3700,0,36724.21,26.16
603936,0,0,0,
603939,100,0,-317.64,92.44
603959,200,0,-4515.71,11.89
603960,3800,0,31785.85,46.08
600703,88000,0,-222422.11,26.09
600707,76531,0,-93276.68,6.3
600710,500,0,-109.07,5.3
600711,181741,0,-60828.52,8.56
600713,100,0,-44.49,4.41
600716,600,0,23.59,4.09
600717,200,0,27.84,4.79
600718,200,0,-108.87,10.25
600723,0,0,0,
600727,200,0,-22.24,6.9
600728,900,0,25.85,7.59
600729,100,0,-178.9,27.91
