仓位
账户,代码,名称,股数,浮盈,均价
msm7haiti,000725,京东方A,-40000,1240.80,5.62
msm7haiti,300296,利亚德,-29800,597.22,6.23
msm7haiti,002085,万丰奥威,-26000,513.16,6.42
msm7haiti,600804,鹏博士,-21100,411.39,6.57
msm7haiti,000503,海虹控股,-20200,1531.58,8.57
msm7haiti,600075,新疆天业,-17300,1518.48,5.64
msm7haiti,300326,凯利泰,-13400,-2083.20,15.89
msm7haiti,300134,大富科技,-12200,-920.98,9.67
msm7haiti,688030,,-6500,2519.39,33.88
msm7haiti,688116,,-4500,2681.49,58.95
msm7haiti,688288,,-3400,1114.10,35.35
msm7haiti,688022,,-2744,483.88,33.58
msm7haiti,688015,,-2100,-140.43,36.59
msm7haiti,000768,中航飞机,-2000,1050.08,33.52
msm7haiti,300482,万孚生物,-1800,4734.03,91.99
msm7haiti,300122,智飞生物,-1600,3999.86,154.48
msm7haiti,300168,万达信息,-1400,147.67,20.71
msm7haiti,002812,,-1400,2254.88,138.34
msm7haiti,601238,广汽集团,-1000,-130.91,13.05
msm7haiti,002382,蓝帆医疗,-1000,-296.33,21.41
msm7haiti,002202,金风科技,-1000,117.90,14.46
msm7haiti,300124,汇川技术,-1000,6.61,89.65
msm7haiti,002294,信立泰,-900,38.85,29.29
msm7haiti,688300,,-900,-254.38,45.36
msm7haiti,688321,,-420,138.96,37.04
msm7haiti,688011,,-300,-330.61,52.01
msm7haiti,300357,我武生物,-300,336.00,75.24
msm7haiti,688021,,-200,-60.29,63.38
msm7haiti,002670,华声股份,700,43.39,11.24
msm7haiti,688099,,800,339.75,71.97
msm7haiti,300274,阳光电源,1000,-2390.03,73.57
msm7haiti,688068,,1400,1097.24,39.46
msm7haiti,600362,江西铜业,2300,521.90,20.63
msm7haiti,688196,,2800,-2245.10,62.94
msm7haiti,000625,长安汽车,4600,73.42,21.81
msm7haiti,000830,鲁西化工,5100,-526.94,13.24
msm7haiti,000157,中联重科,21200,-4137.43,9.51
msm7haiti,600395,盘江股份,24000,-2730.29,8.62
总利润：,6738.02184464792



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:54:31,msm7haiti,SJNAT458153f32838494bb2e6ee8e7bbe0590,296,688300,,45.36,-900,45.36,-900,0,已成
09:32:31,msm7haiti,SJNATcb323b70388540e08da533175551c22f,136,688288,,35.43,-1200,35.45336,-1200,0,已成
09:38:32,msm7haiti,SJNATb37a99662bc447a3aa98250d7031e574,207,688288,,35.29,-2200,35.3,-2200,0,已成
09:43:30,msm7haiti,SJNATde7ad971c0424100a55accba5a0983e8,241,688196,,62.93,1700,62.90963,1700,0,已成
09:43:54,msm7haiti,SJNAT2794b5ce6ea948069ff73becc5116297,243,688196,,63.02,1600,62.975,1600,0,已成
09:49:00,msm7haiti,SJNATa72dc837dbe445a5b44ebc6d9ada9bc0,279,688196,,61.93,-500,61.98,-500,0,已成
09:33:54,msm7haiti,SJNAT0fd97e13cfd54b6ca8f2da05c0411121,152,688116,,58.49,-700,58.49,-700,0,已成
09:34:02,msm7haiti,SJNATcbc0490d122e4929aa344091c82c1e61,157,688116,,58.98,-3400,58.98,-3400,0,已成
09:35:26,msm7haiti,SJNAT8c1e7201dd4843119ed0332c2c681ce4,180,688116,,59.18,-400,59.5,-400,0,已成
09:30:33,msm7haiti,SJNAT90e1141f913b4f478cced7f1619e6298,4,688108,,13.6,-900,13.6,-900,0,已成
09:42:29,msm7haiti,SJNAT33bc14cabb0d41818d9e7b3c116cc2cf,236,688108,,13.89,900,13.88,900,0,已成
09:30:49,msm7haiti,SJNAT46b8758c2ad4470995e9620083635b0b,58,688099,,72.79,-900,72.79,-900,0,已成
09:36:34,msm7haiti,SJNAT6aa4d744fa5c4e55819b65e04f61755c,190,688099,,72.83,500,72.83,500,0,已成
09:40:26,msm7haiti,SJNATbdf13695b9be4da99251b231dc103c83,221,688099,,72.57,200,72.54,200,0,已成
09:41:31,msm7haiti,SJNAT39a488cd17ca4fbfb2c25fb8cfc767ff,229,688099,,72.42,200,72.3925,200,0,已成
09:44:54,msm7haiti,SJNATc483ee3f374747559cc0a9c4269c64fc,246,688099,,71.97,1400,71.97,1400,0,已成
09:46:02,msm7haiti,SJNATf5c9e7cdbe3444cc80679048acb3969d,261,688099,,71.78,-600,71.78,-600,0,已成
09:42:58,msm7haiti,SJNAT863c8b34228a4ae097cd9365f5351e5a,238,688068,,39.27,700,39.24572,700,0,已成
09:50:33,msm7haiti,SJNATc9b7e337f00f40efbe3740a495781546,285,688068,,39.69,700,39.68,700,0,已成
09:30:58,msm7haiti,SJNAT5f00197665954b12a3d4d344b93599be,79,688030,,33.87,-1100,33.88991,-1100,0,已成
09:31:01,msm7haiti,SJNAT39005025dca847db97298cebccf7f70e,86,688030,,33.85,-5400,33.88,-5400,0,已成
09:31:31,msm7haiti,SJNATb14e5de937d545f3ab8c7190ed64abaf,108,688022,,33.58,-3400,33.58,-3400,0,已成
09:37:01,msm7haiti,SJNATec557c68f9a04f8b96ccf66f6dc1542f,196,688021,,63.28,-200,63.38,-200,0,已成
09:46:31,msm7haiti,SJNAT9402c44b8cfc45af893545b86b9588f7,266,688015,,36.58,-800,36.61,-800,0,已成
09:46:33,msm7haiti,SJNAT5fcbe43c7b4f4c708f1cfa149e250dbc,268,688015,,36.58,-800,36.5869,-800,0,已成
09:37:02,msm7haiti,SJNATc50eafdd016e4a4cafb8c179a4ad1445,197,688011,,51.9,-3200,51.94294,-3200,0,已成
09:37:58,msm7haiti,SJNATb8e7fedfecaf4e608fe3364bf921eb4e,204,688011,,52.49,-400,52.56,-400,0,已成
09:46:58,msm7haiti,SJNATd69fe3e4f6bb4392bf2982ee504c2a9b,272,688011,,52.99,400,52.99,400,0,已成
