仓位
账户,代码,名称,股数,浮盈,均价
msm7haiti,000725,undefined,-40000,-2360.28,5.62
msm7haiti,300296,undefined,-29800,-2383.67,6.23
msm7haiti,002085,undefined,-26000,3894.18,6.42
msm7haiti,600804,undefined,-21100,622.45,6.57
msm7haiti,000503,undefined,-20200,4360.43,8.57
msm7haiti,600075,undefined,-17300,1172.37,5.64
msm7haiti,300326,undefined,-13400,-2351.28,15.89
msm7haiti,688030,undefined,-6500,-1641.85,33.88
msm7haiti,688116,undefined,-4500,-2990.21,58.95
msm7haiti,688288,undefined,-3400,603.94,35.35
msm7haiti,688015,undefined,-2400,-1277.51,36.64
msm7haiti,000768,undefined,-2000,1850.33,33.52
msm7haiti,300482,undefined,-1800,6084.43,91.99
msm7haiti,300122,undefined,-1600,3919.84,154.48
msm7haiti,002812,undefined,-1400,-405.91,138.34
msm7haiti,002202,undefined,-1000,207.93,14.46
msm7haiti,300124,undefined,-1000,-1923.97,89.65
msm7haiti,002382,undefined,-1000,-606.42,21.41
msm7haiti,688300,undefined,-900,-326.40,45.36
msm7haiti,688321,undefined,-420,134.76,37.04
msm7haiti,300357,undefined,-300,444.03,75.24
msm7haiti,688021,undefined,-200,-100.31,63.38
msm7haiti,688389,undefined,-62,-10.55,21.44
msm7haiti,688022,undefined,-44,-42.86,33.58
msm7haiti,002670,undefined,700,134.22,11.24
msm7haiti,002271,undefined,2000,-724.85,39.26
msm7haiti,688196,undefined,2800,-2578.70,62.94
msm7haiti,000830,undefined,5100,-1392.39,13.24
msm7haiti,000157,undefined,21200,-1169.48,9.51
总利润：,1142.2679200000002



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
10:02:30,msm7haiti,SJNAT0d1ea49249364a1190d94177f85e9c76,308,688015,交控科技,36.96,-1200,0,0,1200,已撤
10:02:31,msm7haiti,SJNAT98bb57c6d79c4856889d0207f85f040e,309,300274,阳光电源,71.04,-600,71.06,-600,0,已成
10:02:33,msm7haiti,SJNAT1f50b69906494e6a85966463f709e814,311,688015,交控科技,36.95,-300,36.95,-300,0,已成
10:03:01,msm7haiti,SJNATd7aeba35c2f24b2f8c1c0ac4a6d34272,313,300274,阳光电源,70.94,-400,0,0,400,已撤
10:04:31,msm7haiti,SJNAT67170fe1a0b149de8120596b493a0660,315,300274,阳光电源,70.88,-400,70.88,-400,0,已成
10:04:58,msm7haiti,SJNATda74f912098e454e96f73fc1d7b9a6dc,316,688030,山石网科,33.08,3400,0,0,3400,已撤
10:07:55,msm7haiti,SJNATa3526db506ed4706a14793b062cecb26,318,688021,奥福环保,62.31,800,0,0,800,已撤
10:14:30,msm7haiti,SJNATf9808301170341b38de812c03586f552,320,688015,交控科技,37.25,-1600,0,0,1600,已撤
10:16:25,msm7haiti,SJNAT60fd6aeb88cc4400a2ea5274471e9885,322,688030,山石网科,33.56,900,0,0,900,已撤
10:16:27,msm7haiti,SJNAT375dc7b056e2402db014104a90eaec76,323,000639,西王食品,6.51,34800,6.51,30100,4700,已撤
10:16:58,msm7haiti,SJNATd89cc3dc27a4471a8d6161ef664fe32b,326,688021,奥福环保,63.64,200,0,0,200,已撤
10:17:30,msm7haiti,SJNAT12d807689bc9425395068af46acd6096,327,000639,西王食品,6.52,4700,6.52,4700,0,已成
10:18:26,msm7haiti,SJNATfa822b34c4724933bbede58faf3100e4,329,688022,瀚川智能,32.83,2700,0,0,2700,已撤
10:19:58,msm7haiti,SJNAT033a521346d342c6b191145f1bb6fdeb,331,300134,大富科技,9.7,-7000,0,0,7000,已撤
10:20:32,msm7haiti,SJNAT6401a23e975d49b08f97fae245f27618,332,688288,鸿泉物联,35.39,-1400,0,0,1400,已撤
10:20:58,msm7haiti,SJNAT3327818995334891816655dd9a65274c,334,688288,鸿泉物联,35.28,-1400,0,0,1400,已撤
10:22:55,msm7haiti,SJNAT5d4b89de20194f66ae957c2a7accea5b,337,688022,瀚川智能,33.25,-100,0,0,0,废单
10:22:58,msm7haiti,SJNATc69481c597c1475d96854a3bd8af190b,338,688022,瀚川智能,33.25,-100,0,0,0,废单
10:23:01,msm7haiti,SJNAT4a2342a13d95479cb7f645de40841586,339,300296,利亚德,6.24,29800,0,0,29800,已撤
10:25:00,msm7haiti,SJNATc8b0529f3ef2493e96b380c2feb953fc,341,000639,西王食品,6.62,-34800,0,0,34800,已撤
10:28:30,msm7haiti,SJNAT2fa928446e8f4df7a65f8331c249ce02,343,688288,鸿泉物联,35.39,-1400,0,0,1400,已撤
10:29:01,msm7haiti,SJNAT2522d058a4054ddab1dd70bf25134ac8,345,688288,鸿泉物联,35.28,-1400,0,0,1400,已撤
10:30:57,msm7haiti,SJNAT21f2ce389676464e819fb6782223212a,347,000639,西王食品,6.63,-27900,6.63,-27900,0,已成
10:31:02,msm7haiti,SJNATcdbbbf3d80fe4739a27ff43d86d00e0a,348,000639,西王食品,6.62,-6900,6.62,-6900,0,已成
10:37:01,msm7haiti,SJNATb3a47e2ea503446ebe892cadacbb983e,349,688288,鸿泉物联,35.34,-800,0,0,800,已撤
10:39:55,msm7haiti,SJNATc1f36885fb5642e48dc7ff35a8433bbb,351,688389,普门科技,21.49,-7000,0,0,7000,已撤
10:40:29,msm7haiti,SJNAT907ad5dd6e34468581c25e7375d3fc81,353,300134,大富科技,9.98,12200,0,0,12200,已撤
10:42:29,msm7haiti,SJNAT479272c8b3d3407f9ebb4838569bc57d,355,300134,大富科技,10.05,6000,10.05,6000,0,已成
10:45:55,msm7haiti,SJNAT2a3447da25bb41ddabf361632e5f4974,357,688288,鸿泉物联,35.13,600,0,0,600,已撤
10:48:54,msm7haiti,SJNAT784ac642550e4b52a261c4ff29f91764,359,688022,瀚川智能,33.53,-100,0,0,0,废单
10:48:58,msm7haiti,SJNATc111bc427377454d86ac8ba8e0e89a9b,360,688022,瀚川智能,33.54,-100,0,0,0,废单
10:49:01,msm7haiti,SJNAT1f6cd491edf049c9a3d0f122a20c3475,361,688022,瀚川智能,33.54,-100,0,0,0,废单
10:49:58,msm7haiti,SJNAT2c202e115aa34ac889559f530001fdd5,362,300134,大富科技,10.06,6200,10.04,6200,0,已成
10:54:26,msm7haiti,SJNAT15368412deab435aa36bfbb86e2c4818,363,688068,热景生物,41.27,-1400,0,0,1400,已撤
10:56:29,msm7haiti,SJNAT9b887c217f674ffaac7a29f6489a9b60,365,688015,交控科技,37.06,900,0,0,900,已撤
10:56:57,msm7haiti,SJNAT914267f4e661479ab7f69efb0c2b5dd1,366,600395,盘江股份,8.28,-11200,0,0,11200,已撤
10:56:57,msm7haiti,SJNAT31d4406fc742431195a53dd6dc909032,367,688021,奥福环保,63.44,2700,0,0,2700,已撤
