时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
11:20:56,mslh18hait6618,SJNAT25deb283a2664fc49d9e51fed00ba7b6,10102,601969,海南矿业,6.3,-5800,0,0,5800,已撤
11:21:31,mslh18hait6618,SJNAT6e5b7eea688f4ba79252afc7089703c7,10110,960,锡业股份,11.38,-12200,11.38762,-12200,0,已成
11:22:31,mslh18hait6618,SJNAT44456a91f9e9475ca2ebef96a9c63e01,10119,655,金岭矿业,8.34,-32700,8.34,-32700,0,已成
11:22:56,mslh18hait6618,SJNATfd7e8d2226e84bec8537a4db66774b29,10121,655,金岭矿业,8.32,-400,8.32,-400,0,已成
11:22:59,mslh18hait6618,SJNAT981e6f8264b5439a91c05a6ff1c77586,10123,655,金岭矿业,8.32,-60700,8.32,-60700,0,已成
11:23:24,mslh18hait6618,SJNATafefeaf1255245bbb35c2ed3636b7e19,10126,603063,禾望电气,19.26,-3700,19.27,-3700,0,已成
11:23:28,mslh18hait6618,SJNAT2e6ddb7cbc24401ba9be70839beecd86,10130,603063,禾望电气,19.24,-5700,19.24,-5700,0,已成
11:23:31,mslh18hait6618,SJNATe9b7902de57e45feb744246dd3775c56,10132,603063,禾望电气,19.22,-9600,19.22,-9600,0,已成
11:23:57,mslh18hait6618,SJNAT669ee84df3e5402f8d4f0e78f41e98e3,10137,603063,禾望电气,19.27,-8400,19.27298,-8400,0,已成
11:24:26,mslh18hait6618,SJNATaa26604e97d14d2f93fb8f4321ec47bb,10138,4,国农科技,20.86,500,20.86,500,0,已成
11:25:01,mslh18hait6618,SJNAT033e3606e9194030a31430c2eb13930e,10141,300690,双一科技,63.14,-400,63.1825,-400,0,已成
11:25:24,mslh18hait6618,SJNATcd9f810327b34b9ca8fb8f65532d0259,10142,600893,航发动力,52.17,-700,52.17,-700,0,已成
11:25:30,mslh18hait6618,SJNAT05bd3cf3d8e640709b3d72b1c49cc9e8,10148,921,海信家电,14.93,100,14.93,100,0,已成
11:25:56,mslh18hait6618,SJNAT59ec866a27ce4937b86eba323c6943dc,10151,717,韶钢松山,4.35,-1700,0,0,1700,已撤
11:25:57,mslh18hait6618,SJNATe0e3e7a4bb004d6a8c88e8c91d19d980,10154,600764,中国海防,35.46,-500,35.47333,-300,200,已撤
11:26:31,mslh18hait6618,SJNAT87abf38802764f708c02ef0434182b98,10157,600893,航发动力,52.14,-2700,52.18074,-2700,0,已成
11:27:00,mslh18hait6618,SJNATa2a499c9e3074244812ab4625ff37691,10164,603063,禾望电气,19.32,-2900,0,0,2900,已撤
11:27:28,mslh18hait6618,SJNATcc119d1f9ede474b9ca27689c7912a5d,10166,2377,国创高新,3.77,100,0,0,100,已撤
11:27:28,mslh18hait6618,SJNAT3ea988e29d404b9aadfd8b590e803a1b,10167,603063,禾望电气,19.28,-2700,19.29,-2700,0,已成
11:27:31,mslh18hait6618,SJNAT1394a5bb7d8b4714a4a67efca41e9086,10168,603063,禾望电气,19.28,-200,19.28,-200,0,已成
11:27:54,mslh18hait6618,SJNAT0538b846d53642e48fab1720a99dd5fe,10169,600893,航发动力,52.09,-500,52.09,-500,0,已成
11:27:57,mslh18hait6618,SJNATe3f807a54c4e41c9948cc82f5e3f0fef,10171,2517,恺英网络,4.42,6400,4.42,600,5800,已撤
11:27:57,mslh18hait6618,SJNAT3e35c45dc5664656be85bb88a98dee97,10173,600893,航发动力,52.08,-700,52.12,-700,0,已成
11:28:24,mslh18hait6618,SJNAT5e59cf013b1e466e9b9c8854bab3b874,10181,603256,宏和科技,8.7,-600,0,0,600,已撤
11:28:28,mslh18hait6618,SJNAT4f5626c5fef846c9b7d33b2341229ba1,10184,600764,中国海防,35.44,-200,35.46,-200,0,已成
11:28:31,mslh18hait6618,SJNATe499fb64feee491bb3881c2c90dbad68,10189,603256,宏和科技,8.69,-600,8.69,-600,0,已成
11:28:54,mslh18hait6618,SJNATd10ae92b9c6b4f1dabf1140fbd42b925,10191,603916,苏博特,22.76,100,22.75,100,0,已成
11:28:54,mslh18hait6618,SJNAT658fdf3b4c394a82b29dae32e90bff35,10193,600893,航发动力,52.08,-1000,52.094,-1000,0,已成
11:28:57,mslh18hait6618,SJNAT254dab49798b4bd0bb1faa20a3a871f7,10196,600893,航发动力,52.06,-2300,52.07,-2300,0,已成
