仓位,,,,,,,,,,,
账户,代码,名称,股数,浮盈,均价,,,,,,
msm7haiti,300134,undefined,-19600,1449.37,10.05,,,,,,
msm7haiti,601717,undefined,-12500,2774.53,10.37,,,,,,
msm7haiti,2085,undefined,-7300,652.78,6.63,,,,,,
msm7haiti,300142,undefined,-5500,5111.49,39.22,,,,,,
msm7haiti,688288,undefined,-5244,-1459.88,35.99,,,,,,
msm7haiti,688116,undefined,-4500,-6511.52,53.64,,,,,,
msm7haiti,2466,undefined,-4100,-2373.13,36.66,,,,,,
msm7haiti,688196,undefined,-3300,333.06,65.43,,,,,,
msm7haiti,300357,undefined,-3000,-192,73.34,,,,,,
msm7haiti,300294,undefined,-2300,323.16,34.78,,,,,,
msm7haiti,688300,undefined,-1900,396.45,46.94,,,,,,
msm7haiti,300759,undefined,-1800,3296.24,118.35,,,,,,
msm7haiti,2812,undefined,-1400,-8007.81,135.49,,,,,,
msm7haiti,603678,undefined,-1400,705.33,62.91,,,,,,
msm7haiti,2353,undefined,-1200,689.89,34.55,,,,,,
msm7haiti,688021,undefined,-1100,767.36,64.15,,,,,,
msm7haiti,688108,undefined,-900,286.23,13.79,,,,,,
msm7haiti,2670,undefined,-700,86.81,11.8,,,,,,
msm7haiti,2460,undefined,-200,-527,96.42,,,,,,
msm7haiti,688030,undefined,-200,58.15,30.84,,,,,,
msm7haiti,688321,undefined,-93,98.67,38.31,,,,,,
msm7haiti,688389,undefined,5400,-2609.75,21.17,,,,,,
msm7haiti,300326,undefined,13400,-2220.74,16.24,,,,,,
总利润：,-6872.31129,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
已完成交易,,,,,,,,,,,
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
9:30:54,msm7haiti,SJNATacdf773dfc854558b50857fb3d362e52,64,688021,奥福环保,64.15,-1100,64.15,-1100,0,已成
9:30:55,msm7haiti,SJNATe93c2a29189c49448bae27d3c7dfdf11,66,603678,火炬电子,61.16,800,61.16,800,0,已成
9:30:57,msm7haiti,SJNATe3ac13a7d92a4824b004240604025f16,67,688116,天奈科技,53.42,-800,0,0,800,已撤
9:31:22,msm7haiti,SJNATe1dcb1575a7a4ab1bdfd1c2da90d5cd0,71,601717,郑煤机,10.34,-9500,10.35,-9500,0,已成
9:31:24,msm7haiti,SJNAT974b16b5ad3d488187622ef5a67234e6,72,625,长安汽车,23.27,-1600,23.33,-1600,0,已成
9:31:25,msm7haiti,SJNAT710516dd41574fa79e8a3ee9c316b989,0,603678,火炬电子,60.99,-1100,0,0,0,废单
9:31:26,msm7haiti,SJNATad9fbabf8d07440c856abb6c7144bd88,73,688321,微芯生物,38.36,-300,38.38,-300,0,已成
9:31:52,msm7haiti,SJNATce7c29ce60864108b3015a1f66117011,74,603799,华友钴业,66.9,900,66.49,900,0,已成
9:31:52,msm7haiti,SJNAT4f9e12dbddf74932aa57d5f39569f1ab,75,768,中航飞机,33.93,-6600,33.93,-6600,0,已成
9:31:52,msm7haiti,SJNAT2c59222adf594d2698cb773040e59ebc,76,2466,天齐锂业,36.9,-4100,0,0,4100,已撤
9:31:53,msm7haiti,SJNAT0c6670dd1377424f99fa0bb98c366951,77,2074,国轩高科,37.13,-1000,37.14,-1000,0,已成
9:31:54,msm7haiti,SJNAT2144e16051a9407dba78da634a62b270,78,603678,火炬电子,60.87,-2200,60.87,-400,1800,已撤
9:31:54,msm7haiti,SJNAT3a3938096bf3440482cf33c3b754fb77,79,300142,沃森生物,39.24,-3500,39.24,-3500,0,已成
9:31:55,msm7haiti,SJNATecce981f8d9648a497c5f7fb94e831fb,80,603799,华友钴业,66.33,800,66.33,800,0,已成
9:31:55,msm7haiti,SJNAT00b45af54f934091b99ffaf9015274b3,81,2202,金风科技,13.94,-1000,0,0,1000,已撤
9:31:55,msm7haiti,SJNAT74fb67718aef4c43a9881a958ae0a67e,82,688116,天奈科技,52.7,900,0,0,900,已撤
9:31:55,msm7haiti,SJNAT75275776cdba491188bb4a94a6ee0694,83,688300,联瑞新材,47.15,-1200,0,0,1200,已撤
9:31:56,msm7haiti,SJNAT6a1f0710fd224549bc620a289ae978b4,85,2382,蓝帆医疗,23.15,-1000,23.15,-1000,0,已成
9:32:21,msm7haiti,SJNAT1ab803170bb44c9fafb43a098085e72b,92,600456,宝钛股份,48.88,-1500,48.97,-1500,0,已成
9:32:22,msm7haiti,SJNATf73053d2d03b4084ad2a535617d7bfe8,93,603799,华友钴业,66.44,1100,66.43,1100,0,已成
9:32:23,msm7haiti,SJNAT466d771e1e964b5a9640d8464fb1e4f7,94,830,鲁西化工,12.55,-6000,0,0,6000,已撤
9:32:24,msm7haiti,SJNATa3927bd7889a4431a89c65dc297a3255,95,2466,天齐锂业,36.65,-4100,0,0,4100,已撤
9:32:28,msm7haiti,SJNAT41f4b2eba2b04ee3b3fa9305b9214c70,98,688108,赛诺医疗,13.78,-900,13.79,-900,0,已成
9:32:30,msm7haiti,SJNATe405a106c0434a178d19794de0de798c,99,639,西王食品,6.54,-22500,6.543867,-22500,0,已成
9:32:52,msm7haiti,SJNAT9b966db9882c4e5aa3f3f1ba42d5ae8d,101,2085,万丰奥威,6.63,-7300,6.63,-7300,0,已成
9:32:53,msm7haiti,SJNAT80a3fe330a5f40ad8e47a2563e13c0f8,102,600456,宝钛股份,49.39,-1400,49.6,-1400,0,已成
9:32:53,msm7haiti,SJNATd9d5eb6eaf2a41ac9dfa289fa1d2f488,103,639,西王食品,6.6,-9800,6.6,-9800,0,已成
9:32:56,msm7haiti,SJNAT37525289e7754eddaa01003fada8daad,104,600456,宝钛股份,49.72,-1500,0,0,1500,已撤
9:32:56,msm7haiti,SJNATbe876d7fd3714e4ca730fa69f579aad8,105,2353,杰瑞股份,34.75,-1600,0,0,1600,已撤
