未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
10:01:26.567,mslh18hait6618,5739,000733,振华科技,55,1800,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,601717,undefined,-132700,15255.94,10.35
mslh18hait6618,600586,undefined,-97300,982.93,6.19
mslh18hait6618,000066,undefined,-65900,-25423.53,16.96
mslh18hait6618,600497,undefined,-59800,1984.87,4.68
mslh18hait6618,000516,undefined,-55200,-10499.61,11.48
mslh18hait6618,300207,undefined,-50400,-2865.06,29.50
mslh18hait6618,002466,undefined,-47800,-1935.57,36.82
mslh18hait6618,002075,undefined,-46100,-3626.93,11.16
mslh18hait6618,002129,undefined,-40100,-13099.55,26.44
mslh18hait6618,600707,undefined,-37900,1918.72,5.87
mslh18hait6618,600460,undefined,-36200,15251.99,24.62
mslh18hait6618,600438,undefined,-30700,3050.66,38.31
mslh18hait6618,000983,undefined,-27900,2540.41,5.61
mslh18hait6618,600737,undefined,-27800,146.11,9.96
mslh18hait6618,002429,undefined,-27300,1381.21,5.89
mslh18hait6618,600499,undefined,-26300,535.42,6.91
mslh18hait6618,000937,undefined,-25500,2400.19,4.18
mslh18hait6618,600305,undefined,-23800,-5144.01,22.55
mslh18hait6618,000768,undefined,-23600,23326.88,34.75
mslh18hait6618,000848,undefined,-20300,1618.32,7.61
mslh18hait6618,002756,undefined,-18574,-50374.29,46.30
mslh18hait6618,600338,undefined,-18100,3932.30,10.32
mslh18hait6618,600348,undefined,-14600,1325.18,5.79
mslh18hait6618,000930,undefined,-13600,1034.08,9.02
mslh18hait6618,600316,undefined,-13500,-687.67,47.63
mslh18hait6618,600409,undefined,-13400,-1534.64,9.06
mslh18hait6618,002124,undefined,-13400,-1518.96,14.58
mslh18hait6618,603128,undefined,-12600,701.63,8.96
mslh18hait6618,603517,undefined,-11900,-15471.76,75.03
mslh18hait6618,600508,undefined,-11800,1148.84,10.46
mslh18hait6618,600584,undefined,-11200,4346.07,41.65
mslh18hait6618,600109,undefined,-10700,2194.49,15.61
mslh18hait6618,000009,undefined,-10200,-327.60,7.57
mslh18hait6618,300503,undefined,-10000,1760.68,10.99
mslh18hait6618,002727,undefined,-9400,2421.09,34.16
mslh18hait6618,601179,undefined,-9100,748.78,4.84
mslh18hait6618,002416,undefined,-9000,602.43,8.18
mslh18hait6618,600760,undefined,-8800,9025.79,76.27
mslh18hait6618,600258,undefined,-8200,-1651.24,21.63
mslh18hait6618,300766,undefined,-7600,1135.87,16.16
mslh18hait6618,000976,undefined,-7107,-96.20,5.38
mslh18hait6618,603758,undefined,-7100,313.55,9.91
mslh18hait6618,600207,undefined,-7000,699.67,6.30
mslh18hait6618,000733,undefined,-6900,6413.66,56.02
mslh18hait6618,002044,undefined,-5800,185.69,11.25
mslh18hait6618,600827,undefined,-5100,-213.86,15.54
mslh18hait6618,603960,undefined,-4900,-4766.02,46.77
mslh18hait6618,603606,undefined,-4700,-1539.35,24.99
mslh18hait6618,603718,undefined,-4500,-31.96,12.91
mslh18hait6618,002179,undefined,-4300,-2880.70,71.95
mslh18hait6618,300378,undefined,-4300,397.35,27.90
mslh18hait6618,002008,undefined,-4300,2068.28,41.49
mslh18hait6618,002697,undefined,-4200,248.93,6.72
mslh18hait6618,603010,undefined,-4200,405.71,22.09
mslh18hait6618,600738,undefined,-3700,254.15,6.41
mslh18hait6618,300219,undefined,-3700,491.41,10.77
mslh18hait6618,002407,undefined,-3400,-855.42,18.34
mslh18hait6618,002695,undefined,-3400,385.90,22.84
mslh18hait6618,603063,undefined,-3300,195.12,19.88
mslh18hait6618,002353,undefined,-3200,1837.05,34.68
mslh18hait6618,688388,undefined,-3100,-596.48,81.74
mslh18hait6618,603308,undefined,-2900,621.09,30.20
mslh18hait6618,600764,undefined,-2900,1618.86,35.71
mslh18hait6618,002850,undefined,-2700,314.80,88.52
mslh18hait6618,300465,undefined,-2500,550.18,12.50
mslh18hait6618,002759,undefined,-2500,433.55,16.65
mslh18hait6618,300451,undefined,-2400,-82.11,13.31
mslh18hait6618,603665,undefined,-2300,-1549.52,33.45
mslh18hait6618,688122,undefined,-2200,618.71,73.17
mslh18hait6618,300427,undefined,-2200,415.55,25.74
mslh18hait6618,002460,undefined,-2100,-5113.65,96.49
mslh18hait6618,300304,undefined,-2100,275.07,5.66
mslh18hait6618,600810,undefined,-2100,179.45,9.11
mslh18hait6618,603456,undefined,-2100,1003.06,33.71
mslh18hait6618,002189,undefined,-2100,-389.85,21.95
mslh18hait6618,300759,undefined,-2000,2842.24,118.35
mslh18hait6618,002434,undefined,-2000,292.83,8.52
mslh18hait6618,603678,undefined,-2000,-1000.69,62.64
mslh18hait6618,002738,undefined,-2000,214.45,28.01
mslh18hait6618,300014,undefined,-1900,-219.33,74.50
mslh18hait6618,603131,undefined,-1900,1089.84,28.13
mslh18hait6618,603589,undefined,-1900,1303.57,65.75
mslh18hait6618,300724,undefined,-1800,-201.08,144.84
mslh18hait6618,603733,undefined,-1700,457.47,25.62
mslh18hait6618,600993,undefined,-1700,102.02,21.33
mslh18hait6618,603658,undefined,-1600,642.62,142.84
mslh18hait6618,601689,undefined,-1600,-671.58,40.40
mslh18hait6618,300443,undefined,-1500,377.57,36.49
mslh18hait6618,603096,undefined,-1400,826.60,49.86
mslh18hait6618,603218,undefined,-1300,-934.45,31.12
mslh18hait6618,000973,undefined,-1300,68.54,4.56
mslh18hait6618,002335,undefined,-1300,-35.34,22.28
mslh18hait6618,300058,undefined,-1300,247.85,5.88
mslh18hait6618,600070,undefined,-1300,34.36,8.49
mslh18hait6618,600546,undefined,-1200,261.52,9.56
mslh18hait6618,300010,undefined,-1200,172.30,10.29
mslh18hait6618,603377,undefined,-1200,-107.70,18.58
mslh18hait6618,300411,undefined,-1200,53.53,9.63
mslh18hait6618,002602,undefined,-1100,53.45,7.14
mslh18hait6618,300149,undefined,-1100,499.91,16.05
mslh18hait6618,603179,undefined,-1100,77.22,31.15
mslh18hait6618,600458,undefined,-1100,127.50,8.83
mslh18hait6618,002745,undefined,-1100,106.98,14.24
mslh18hait6618,300044,undefined,-1100,21.94,6.29
mslh18hait6618,300136,undefined,-1000,578.83,38.35
mslh18hait6618,300261,undefined,-1000,100.23,6.13
mslh18hait6618,300229,undefined,-1000,126.62,8.39
mslh18hait6618,300718,undefined,-1000,163.44,18.51
