仓位
账户,代码,名称,股数,浮盈,均价
msm7haiti,601899,undefined,-22400,-1899.28,9.23
msm7haiti,603799,undefined,-2800,-4553.13,72.29
msm7haiti,688030,undefined,-2386,-1693.14,37.23
msm7haiti,688022,undefined,-2000,-603.36,33.19
msm7haiti,688099,undefined,-1232,-2964.71,75.74
msm7haiti,688116,undefined,-1226,-3284.35,58.82
msm7haiti,300482,undefined,-1200,-1587.63,89.17
msm7haiti,002670,undefined,-700,-733.75,11.19
msm7haiti,300274,undefined,-200,-221.25,68.08
msm7haiti,603678,undefined,-200,-115.22,66.23
msm7haiti,688011,undefined,-128,-87.04,49.90
msm7haiti,002812,undefined,-100,70.65,139.84
msm7haiti,688288,undefined,100,43.23,35.67
总利润：,-17628.99075



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:49:25,msm7haiti,SJNAT89455133230a4497a70b74b7ed9b79d1,208,688099,晶晨股份,75.96,-400,0,0,400,已撤
09:49:25,msm7haiti,SJNAT969e56d3d058439db7a8e28cfd83e3fe,209,600760,中航沈飞,72.11,600,72.11,600,0,已成
09:49:32,msm7haiti,SJNAT406ac656589a4615b87146623b81cbbb,210,688021,奥福环保,61.27,100,0,0,0,废单
09:50:02,msm7haiti,SJNAT691032a5357f454686996f8d5ad7ff30,212,002238,天威视讯,7.07,-5500,7.07,-700,4800,已撤
09:50:02,msm7haiti,SJNATee01517f93ac4d86a81857f5966145e0,213,688021,奥福环保,61.27,2700,0,0,2700,已撤
09:50:29,msm7haiti,SJNAT152bb39f99604415abb6725d3cb3bc48,215,600760,中航沈飞,72,300,72,300,0,已成
09:51:01,msm7haiti,SJNAT091a5695e8fc4b91944763a7c906bd12,217,688099,晶晨股份,75.88,-400,0,0,400,已撤
09:51:30,msm7haiti,SJNAT4ff2f104aba94e4d8a2b7f811684a046,219,688022,瀚川智能,32.42,1600,32.42,1600,0,已成
09:51:55,msm7haiti,SJNAT1e8aa8f28d0441e481ea219c2aa94b32,220,688099,晶晨股份,75.72,-400,0,0,400,已撤
09:52:55,msm7haiti,SJNAT9ee8ab55c1cf4462b2abce7382267918,222,688022,瀚川智能,32.46,2000,0,0,2000,已撤
09:53:30,msm7haiti,SJNAT856088158bf542dc9d0bd99f0918cc8c,224,688099,晶晨股份,75.45,-300,75.45,-300,0,已成
09:54:29,msm7haiti,SJNAT2885e273ccd9439e970244409c1704f3,225,688022,瀚川智能,32.98,-2000,32.98,-500,1500,已撤
09:54:58,msm7haiti,SJNAT7a57e9b503e2467eb3d477a9e520b95f,227,688099,晶晨股份,75.98,-100,0,0,0,废单
09:55:30,msm7haiti,SJNATfeeaac47c06c498b9027b5113b0fa5a9,228,688099,晶晨股份,75.89,-100,0,0,0,废单
09:55:58,msm7haiti,SJNATf8905660d2ec446bb26144fed81b97df,229,688022,瀚川智能,33.16,-900,33.19,-900,0,已成
09:56:25,msm7haiti,SJNAT98797fb241914edf977c45860307a9d8,230,688099,晶晨股份,75.82,-100,0,0,0,废单
09:56:55,msm7haiti,SJNATfc0eea63c77c45ed9fddcb13628abc1f,231,688022,瀚川智能,33.37,-600,33.37,-600,0,已成
09:57:32,msm7haiti,SJNAT3793d92ca7824a319fb14b35265c9c52,232,688021,奥福环保,62.08,-100,0,0,0,废单
09:57:34,msm7haiti,SJNAT87017146572a4b9bba0deb126b1d5e52,233,688021,奥福环保,62.08,-100,0,0,0,废单
10:00:34,msm7haiti,SJNAT0e02b46c48ca42a4bacff39bb86f2c80,234,300207,欣旺达,30.11,-6600,0,0,6600,已撤
10:00:55,msm7haiti,SJNAT28f4ffbee91449908c72ace46c1087b1,235,688288,鸿泉物联,35.87,-2000,0,0,2000,已撤
10:01:26,msm7haiti,SJNAT25d26cb47bae4e9baf4a373b908b274a,237,688288,鸿泉物联,35.82,-1500,0,0,1500,已撤
10:01:33,msm7haiti,SJNAT5e00d97ff7f442f6afe04e1d7656ca59,238,688288,鸿泉物联,35.81,-600,0,0,600,已撤
10:02:57,msm7haiti,SJNATd814554985e244468cf352f6f0add032,242,600884,杉杉股份,16.95,400,16.94,400,0,已成
10:03:59,msm7haiti,SJNAT6166974c50d54a1492f99eb7956f4c0b,243,002812,恩捷股份,137.27,100,0,0,100,已撤
10:04:00,msm7haiti,SJNAT586af70a7db1482eb3616c6f37add65e,244,300207,欣旺达,29.86,-6600,29.87,-6600,0,已成
10:07:30,msm7haiti,SJNAT184c922e188c4974972d7f22fb070310,246,600531,豫光金铅,5.97,-23300,5.97,-23300,0,已成
10:08:01,msm7haiti,SJNAT582c1964c08e4f38a888760b6ebb544f,247,688011,新光光电,49.16,500,0,0,500,已撤
10:08:32,msm7haiti,SJNAT3c32292720cf4398b36a06e7165b8baa,249,688011,新光光电,49.19,100,0,0,0,废单
10:08:55,msm7haiti,SJNATa1047a968ed2412cb702c9838726b5cb,250,688288,鸿泉物联,36.07,-1200,0,0,1200,已撤
10:09:29,msm7haiti,SJNATea45955d167b4649a21bbddf3a79347b,252,688288,鸿泉物联,35.99,-1200,35.99,-1200,0,已成
10:09:58,msm7haiti,SJNAT5934828ecf17488688de8cc3eb25a5f2,253,688288,鸿泉物联,35.99,-1200,35.99,-1200,0,已成
10:11:54,msm7haiti,SJNATbbc8ba465e264928ba2bc1926ede5720,254,688288,鸿泉物联,36.31,-2200,0,0,2200,已撤
10:11:57,msm7haiti,SJNAT6cb6ebb3ec574b6f89f40331b1998312,255,002238,天威视讯,6.98,700,0,0,700,已撤
