未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
13:07:57.089,mslh18hait6618,8014,002285,世联行,4.73,-1700,0,0,0,已报
13:07:58.024,mslh18hait6618,8018,603078,江化微,33.32,-100,0,0,0,已报
13:09:01.255,mslh18hait6618,8024,300297,蓝盾股份,4.95,-4900,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,600418,undefined,-128200,-38393.98,11.78
mslh18hait6618,600300,undefined,-114700,-6094.56,4.66
mslh18hait6618,002340,undefined,-95300,-23317.00,6.71
mslh18hait6618,601168,undefined,-91500,-28068.46,12.03
mslh18hait6618,000625,undefined,-73300,-40937.22,21.42
mslh18hait6618,601899,undefined,-49600,-9163.87,9.19
mslh18hait6618,603063,undefined,-42400,-2729.70,18.67
mslh18hait6618,603799,undefined,-29668,-55143.01,72.46
mslh18hait6618,600893,undefined,-22200,-69615.75,51.90
mslh18hait6618,601908,undefined,-18100,-2967.92,9.82
mslh18hait6618,601699,undefined,-14400,-3317.79,6.46
mslh18hait6618,002756,undefined,-11900,-31006.36,46.76
mslh18hait6618,002938,undefined,-11300,5785.27,48.05
mslh18hait6618,600971,undefined,-11000,325.38,6.52
mslh18hait6618,300241,undefined,-10900,-549.49,6.50
mslh18hait6618,002824,undefined,-10400,-4070.12,15.56
mslh18hait6618,000930,undefined,-8800,-468.54,8.27
mslh18hait6618,601012,undefined,-8800,-1685.46,90.96
mslh18hait6618,002733,undefined,-8400,-8429.20,20.22
mslh18hait6618,601615,undefined,-6900,-3724.85,18.55
mslh18hait6618,002015,undefined,-6800,-273.26,6.36
mslh18hait6618,600335,undefined,-6500,-442.53,5.04
mslh18hait6618,603218,undefined,-5900,-2868.04,29.37
mslh18hait6618,600362,undefined,-5800,-4010.58,19.55
mslh18hait6618,300037,undefined,-5800,-16251.56,98.49
mslh18hait6618,000848,undefined,-5500,-722.24,7.05
mslh18hait6618,002007,undefined,-5200,-4317.44,40.66
mslh18hait6618,300034,undefined,-5177,-4690.25,32.71
mslh18hait6618,000903,undefined,-5100,-340.85,4.26
mslh18hait6618,300569,undefined,-4300,-971.96,15.80
mslh18hait6618,300443,undefined,-4300,-2042.61,33.15
mslh18hait6618,000878,undefined,-4200,-1439.69,14.18
mslh18hait6618,000690,undefined,-4000,-206.83,7.31
mslh18hait6618,300026,undefined,-4000,-109.14,4.55
mslh18hait6618,300450,undefined,-3900,-19408.20,78.93
mslh18hait6618,002783,undefined,-3800,-180.64,9.97
mslh18hait6618,600890,undefined,-3800,-105.39,4.83
mslh18hait6618,600888,undefined,-3600,-573.92,5.86
mslh18hait6618,300220,undefined,-3300,-527.23,18.58
mslh18hait6618,600879,undefined,-3300,-664.68,7.10
mslh18hait6618,600859,undefined,-3000,-949.47,30.67
mslh18hait6618,601127,undefined,-2900,-2158.03,15.25
mslh18hait6618,000966,undefined,-2800,-381.85,3.96
mslh18hait6618,300143,undefined,-2800,-180.93,18.50
mslh18hait6618,300196,undefined,-2600,-88.49,16.94
mslh18hait6618,300427,undefined,-2500,107.62,23.11
mslh18hait6618,600419,undefined,-2500,-223.54,14.62
mslh18hait6618,002484,undefined,-2400,-256.27,10.47
mslh18hait6618,000626,undefined,-2200,-372.02,12.76
mslh18hait6618,000987,undefined,-2100,-698.62,13.52
mslh18hait6618,300433,undefined,-2100,-122.88,30.32
mslh18hait6618,002249,undefined,-2100,-329.81,4.38
mslh18hait6618,002096,undefined,-2000,-243.04,7.18
mslh18hait6618,300352,undefined,-2000,-77.14,5.35
mslh18hait6618,002123,undefined,-2000,-85.13,14.10
mslh18hait6618,002876,undefined,-2000,782.69,46.75
mslh18hait6618,300363,undefined,-1900,-723.29,34.57
mslh18hait6618,603260,undefined,-1800,-1018.94,32.87
mslh18hait6618,688006,undefined,-1600,-4823.05,77.21
mslh18hait6618,600038,undefined,-1600,-4339.85,58.04
mslh18hait6618,600563,undefined,-1500,-7832.46,103.83
mslh18hait6618,603100,undefined,-1500,153.56,11.04
mslh18hait6618,300129,undefined,-1500,-47.31,7.74
mslh18hait6618,603990,undefined,-1400,680.01,31.35
mslh18hait6618,688363,undefined,-1400,-4328.75,135.96
mslh18hait6618,002130,undefined,-1300,40.60,5.49
mslh18hait6618,600337,undefined,-1300,-74.50,4.56
mslh18hait6618,603606,undefined,-1200,-70.61,24.27
mslh18hait6618,002518,undefined,-1200,-82.06,11.48
mslh18hait6618,603786,undefined,-1200,854.31,67.70
mslh18hait6618,600305,undefined,-1100,17.14,21.52
mslh18hait6618,300406,undefined,-1100,-165.11,25.04
mslh18hait6618,300401,undefined,-1000,54.98,15.65
mslh18hait6618,300132,undefined,-1000,-158.52,17.80
mslh18hait6618,600141,undefined,-900,-204.48,10.71
mslh18hait6618,601003,undefined,-900,-70.42,5.14
mslh18hait6618,603816,undefined,-900,-333.59,69.11
mslh18hait6618,000400,undefined,-800,-10.63,14.56
mslh18hait6618,002956,undefined,-800,27.30,28.69
mslh18hait6618,600132,undefined,-700,-500.73,115.73
mslh18hait6618,603960,undefined,-700,206.48,46.65
mslh18hait6618,002396,undefined,-700,-347.21,22.42
mslh18hait6618,002891,undefined,-600,-251.25,55.41
mslh18hait6618,300257,undefined,-600,-214.73,13.19
mslh18hait6618,000503,undefined,-600,-19.81,8.13
mslh18hait6618,000887,undefined,-600,-47.01,11.46
mslh18hait6618,600550,undefined,-500,-4.11,5.14
mslh18hait6618,600452,undefined,-500,75.76,16.58
mslh18hait6618,300127,undefined,-500,-113.61,16.97
mslh18hait6618,300729,undefined,-500,251.17,42.40
mslh18hait6618,300149,undefined,-500,-16.29,14.11
mslh18hait6618,300256,undefined,-400,-23.87,6.04
mslh18hait6618,300041,undefined,-400,-44.91,13.91
mslh18hait6618,600218,undefined,-400,-45.82,9.08
mslh18hait6618,002572,undefined,-300,-341.93,24.64
mslh18hait6618,300575,undefined,-300,-78.26,38.00
mslh18hait6618,603896,undefined,-300,96.39,34.67
mslh18hait6618,300180,undefined,-200,0.12,5.89
mslh18hait6618,300033,undefined,-200,-165.46,116.94
mslh18hait6618,300522,undefined,-200,84.73,22.82
mslh18hait6618,300802,undefined,-200,50.26,30.50
mslh18hait6618,000990,undefined,-200,-7.83,11.98
mslh18hait6618,002621,undefined,-200,-11.79,5.59
mslh18hait6618,603676,undefined,-200,-20.87,8.96
mslh18hait6618,300580,undefined,-200,-24.53,20.39
mslh18hait6618,300552,undefined,-200,-87.81,43.08
mslh18hait6618,603730,undefined,-200,-0.81,27.54
mslh18hait6618,688088,undefined,-200,99.80,69.50
mslh18hait6618,002300,undefined,-200,-6.11,6.60
mslh18hait6618,603959,undefined,-200,-41.79,11.80
mslh18hait6618,300502,undefined,-200,170.73,54.15
mslh18hait6618,002884,undefined,-100,-44.73,23.23
mslh18hait6618,300455,undefined,-100,-1.74,10.87
mslh18hait6618,300724,undefined,-100,92.07,139.95
mslh18hait6618,002930,undefined,-100,20.82,19.90
mslh18hait6618,300541,undefined,-100,-17.65,16.52
mslh18hait6618,603203,undefined,-100,-14.48,28.00
mslh18hait6618,300800,undefined,-100,23.59,27.62
mslh18hait6618,300428,undefined,-100,6.75,14.06
mslh18hait6618,603355,undefined,-100,11.17,30.21
mslh18hait6618,300805,undefined,-100,14.00,18.79
mslh18hait6618,300398,undefined,-100,-10.72,16.96
mslh18hait6618,300464,undefined,-100,0.25,17.18
mslh18hait6618,600711,undefined,-53,-18.58,8.54
mslh18hait6618,601101,undefined,-43,-7.39,4.73
mslh18hait6618,600864,undefined,7,2.19,7.90
mslh18hait6618,688099,undefined,26,134.55,73.92
mslh18hait6618,600559,undefined,57,134.08,30.50
mslh18hait6618,688005,undefined,60,6.99,52.00
mslh18hait6618,002479,undefined,100,1.09,5.69
mslh18hait6618,002949,undefined,100,44.97,18.52
mslh18hait6618,300481,undefined,100,0.85,19.63
mslh18hait6618,002474,undefined,100,5.01,6.11
mslh18hait6618,002657,undefined,100,-6.78,11.14
mslh18hait6618,002757,undefined,100,7.58,15.05
mslh18hait6618,603345,undefined,100,-178.89,190.54
mslh18hait6618,002315,undefined,100,-12.61,16.40
mslh18hait6618,300768,undefined,100,33.23,35.76
mslh18hait6618,300761,undefined,100,-39.97,31.32
mslh18hait6618,300684,undefined,100,18.30,22.95
mslh18hait6618,601368,undefined,100,0.14,5.35
mslh18hait6618,603078,undefined,100,29.68,32.94
mslh18hait6618,603755,undefined,100,-33.30,77.04
mslh18hait6618,300036,undefined,100,-17.93,18.45
mslh18hait6618,002867,undefined,100,-6.20,26.25
mslh18hait6618,002749,undefined,100,2.28,10.70
mslh18hait6618,002206,undefined,100,-0.63,3.91
mslh18hait6618,300559,undefined,200,-56.11,13.07
mslh18hait6618,002045,undefined,200,9.32,8.33
mslh18hait6618,601116,undefined,200,14.69,10.26
mslh18hait6618,603566,undefined,200,85.37,20.36
mslh18hait6618,603158,undefined,200,-22.50,20.38
mslh18hait6618,688202,undefined,200,392.12,154.09
mslh18hait6618,000026,undefined,200,6.37,11.31
mslh18hait6618,300476,undefined,300,10.84,21.10
mslh18hait6618,002298,undefined,300,55.60,9.00
mslh18hait6618,002698,undefined,300,6.12,12.22
mslh18hait6618,002583,undefined,300,9.06,6.09
mslh18hait6618,300158,undefined,300,-8.68,5.60
mslh18hait6618,002353,undefined,300,-42.38,34.19
mslh18hait6618,600378,undefined,300,-45.89,20.70
mslh18hait6618,300562,undefined,400,46.40,21.13
mslh18hait6618,000796,undefined,400,55.54,13.09
mslh18hait6618,600885,undefined,400,-152.96,54.07
mslh18hait6618,603823,undefined,400,14.55,14.71
mslh18hait6618,603658,undefined,400,527.57,143.16
mslh18hait6618,300696,undefined,500,342.83,52.08
mslh18hait6618,300690,undefined,500,-691.24,60.10
mslh18hait6618,600845,undefined,500,-252.38,65.80
mslh18hait6618,603096,undefined,500,93.67,51.44
mslh18hait6618,603129,undefined,500,-1829.02,170.28
mslh18hait6618,600872,undefined,500,331.98,65.65
mslh18hait6618,603055,undefined,500,-4.82,6.03
mslh18hait6618,002068,undefined,500,30.11,6.05
mslh18hait6618,603899,undefined,600,-816.41,87.88
mslh18hait6618,603803,undefined,600,31.54,10.84
mslh18hait6618,603313,undefined,600,-499.69,33.64
mslh18hait6618,603638,undefined,600,-208.90,68.84
mslh18hait6618,603599,undefined,600,51.83,23.00
mslh18hait6618,603809,undefined,700,376.07,20.01
mslh18hait6618,603103,undefined,700,64.82,17.03
mslh18hait6618,603568,undefined,700,-58.37,19.12
mslh18hait6618,603605,undefined,700,868.07,168.08
mslh18hait6618,002092,undefined,700,7.28,5.98
mslh18hait6618,603181,undefined,800,207.49,18.91
mslh18hait6618,002918,undefined,900,-270.55,32.53
mslh18hait6618,002180,undefined,900,-343.36,26.22
mslh18hait6618,002267,undefined,900,-0.56,6.63
mslh18hait6618,000524,undefined,1000,207.62,7.56
mslh18hait6618,600966,undefined,1000,126.59,14.51
mslh18hait6618,603156,undefined,1000,-220.49,25.45
