资产账号,证券代码,市场,申报类型,约定号,期限,利率,数量
960000039239,000725,SZ,非约定申报,,13,0.05,28500.0
960000039239,002340,SZ,非约定申报,,8,0.07,23900.0
960000039239,002389,SZ,非约定申报,,6,0.07,6400.0
960000039239,002460,SZ,非约定申报,,26,0.05,1700.0
960000039239,002646,SZ,非约定申报,,12,0.07,7400.0
960000039239,300750,SZ,非约定申报,,5,0.07,600.0
960000039239,600059,SH,非约定申报,,8,0.07,13600.0
960000039239,600197,SH,非约定申报,,6,0.07,7900.0
960000039239,600543,SH,非约定申报,,6,0.07,28000.0
960000039239,600559,SH,非约定申报,,12,0.07,6900.0
960000039239,603919,SH,非约定申报,,12,0.07,5900.0
